Gene_name	Intron_coord	Exons_before	Exons_after
KIF2C	chr1:44755983-44756115	8.0	11.0
KIF2C	chr1:44747700-44750309	4.0	16.0
RPS8	chr1:44777737-44778000	4.0	1.0
RPS8	chr1:44775882-44776034	0.0	5.0
RPS8	chr1:44776739-44777614	3.0	2.0
RPS8	chr1:44776772-44777614	3.0	2.0
UROD	chr1:45013426-45013594	2.0	5.0
UROD	chr1:45013215-45013355	3.0	5.0
UROD	chr1:45013354-45013575	3.0	4.0
TOE1	chr1:45342643-45342735	6.0	1.0
TOE1	chr1:45340542-45341073	0.0	7.0
TOE1	chr1:45342643-45342739	6.0	1.0
MMACHC	chr1:45507550-45508214	2.0	1.0
AKR1A1	chr1:45569006-45569143	6.0	1.0
NASP	chr1:45602365-45604917	3.0	5.0
RAD54L	chr1:46270785-46271368	0.0	1.0
RAD54L	chr1:46261074-46261261	6.0	11.0
RAD54L	chr1:46273465-46274138	0.0	3.0
RAD54L	chr1:46271442-46272466	9.0	8.0
RAD54L	chr1:46248623-46250000	2.0	15.0
UQCRH	chr1:46310044-46310155	1.0	2.0
UQCRH	chr1:46309143-46310155	2.0	1.0
NSUN4	chr1:46340919-46344782	1.0	1.0
NSUN4	chr1:46341497-46344801	0.0	2.0
OSBPL9	chr1:51756995-51760690	1.0	15.0
OSBPL9	chr1:51652041-51714003	0.0	2.0
OSBPL9	chr1:51756358-51760666	2.0	14.0
OSBPL9	chr1:51669814-51714003	2.0	21.0
OSBPL9	chr1:51765981-51772605	0.0	3.0
BTF3L4	chr1:52065408-52086112	1.0	2.0
BTF3L4	chr1:52060659-52064825	0.0	3.0
PRPF38A	chr1:52405313-52405680	0.0	9.0
PRPF38A	chr1:52404879-52405260	1.0	8.0
ZYG11B	chr1:52801952-52802092	9.0	4.0
SCP2	chr1:53015043-53038917	0.0	1.0
CPT2	chr1:53197507-53200719	0.0	4.0
HOOK1	chr1:59862877-59863825	16.0	5.0
HOOK1	chr1:59822090-59828780	1.0	4.0
HOOK1	chr1:59815351-59821858	0.0	5.0
PATJ	chr1:61827583-61833358	15.0	26.0
PATJ	chr1:62117218-62121186	37.0	4.0
ALG6	chr1:63371287-63396513	0.0	7.0
ALG6	chr1:63407126-63411255	7.0	2.0
ALG6	chr1:63412061-63414071	8.0	5.0
ALG6	chr1:63414146-63415818	9.0	4.0
ALG6	chr1:63411331-63411682	7.0	2.0
ALG6	chr1:63411806-63411926	6.0	1.0
ALG6	chr1:63411155-63411926	7.0	2.0
AK4	chr1:65149140-65190710	0.0	4.0
MIER1	chr1:66925381-66926142	0.0	14.0
MIER1	chr1:66925534-66926142	0.0	14.0
GADD45A	chr1:67686822-67687661	1.0	1.0
SRSF11	chr1:70221839-70228465	1.0	10.0
SRSF11	chr1:70228555-70231859	2.0	9.0
SRSF11	chr1:70228555-70230557	0.0	1.0
SRSF11	chr1:70228555-70229210	0.0	1.0
SRSF11	chr1:70247149-70249952	8.0	3.0
SRSF11	chr1:70228555-70231095	0.0	1.0
CTH	chr1:70411656-70415956	0.0	10.0
FPGT-TNNI3K	chr1:74199845-74201318	2.0	2.0
FPGT	chr1:74199831-74200692	2.0	1.0
TYW3	chr1:74733531-74736542	0.0	4.0
ACADM	chr1:75733149-75734791	3.0	1.0
ACADM	chr1:75734875-75739980	6.0	4.0
ACADM	chr1:75740110-75745835	7.0	4.0
ACADM	chr1:75732741-75732860	3.0	7.0
ACADM	chr1:75732741-75732838	3.0	1.0
ACADM	chr1:75734869-75739980	6.0	4.0
ACADM	chr1:75732745-75732853	3.0	7.0
RABGGTB	chr1:75786797-75787497	0.0	3.0
RABGGTB	chr1:75786274-75786700	1.0	2.0
RABGGTB	chr1:75786916-75787497	0.0	3.0
RABGGTB	chr1:75790517-75791285	3.0	5.0
RABGGTB	chr1:75786854-75787497	0.0	3.0
RABGGTB	chr1:75786965-75787497	0.0	3.0
RABGGTB	chr1:75786865-75787497	0.0	3.0
RABGGTB	chr1:75791571-75792197	6.0	2.0
RABGGTB	chr1:75788121-75789159	1.0	2.0
MIGA1	chr1:77779736-77783243	1.0	14.0
IFI44L	chr1:78641121-78641505	3.0	1.0
IFI44L	chr1:78635489-78637100	1.0	3.0
IFI44L	chr1:78629915-78635342	3.0	4.0
IFI44	chr1:78655209-78655367	3.0	4.0
IFI44	chr1:78661456-78662704	5.0	2.0
IFI44	chr1:78660691-78662704	6.0	1.0
RPF1	chr1:84496072-84496244	6.0	2.0
ZNF326	chr1:90005244-90007634	4.0	7.0
CDC7	chr1:91514997-91515742	8.0	2.0
RPL5	chr1:92833949-92834779	0.0	5.0
RPL5	chr1:92836392-92837506	3.0	2.0
MTF2	chr1:93120894-93127232	5.0	6.0
MTF2	chr1:93110630-93114688	3.0	11.0
MTF2	chr1:93079531-93110327	1.0	13.0
CCDC18	chr1:93239896-93246838	0.0	4.0
CCDC18	chr1:93237380-93239310	0.0	4.0
CCDC18	chr1:93203139-93205510	0.0	4.0
CCDC18	chr1:93207402-93210802	8.0	19.0
CCDC18	chr1:93218652-93221609	12.0	15.0
CCDC18	chr1:93236390-93237262	0.0	4.0
CCDC18	chr1:93214961-93216636	11.0	16.0
CCDC18	chr1:93201988-93203037	0.0	4.0
CCDC18	chr1:93221940-93226333	15.0	12.0
RWDD3	chr1:95244715-95246542	1.0	2.0
TRMT13	chr1:100144143-100148093	9.0	1.0
TRMT13	chr1:100140514-100140865	6.0	4.0
TRMT13	chr1:100140514-100140967	6.0	4.0
RTCA	chr1:100268295-100270579	3.0	7.0
RTCA	chr1:100266624-100268074	2.0	8.0
RTCA	chr1:100266624-100268137	2.0	8.0
SLC30A7	chr1:100912246-100913663	5.0	5.0
RNPC3	chr1:103546808-103546977	10.0	3.0
RNPC3	chr1:103527742-103533773	2.0	11.0
PRPF38B	chr1:108696337-108697947	4.0	1.0
PRPF38B	chr1:108695780-108696043	2.0	3.0
PRPF38B	chr1:108696351-108698604	4.0	1.0
STXBP3	chr1:108759223-108759985	4.0	14.0
GPSM2	chr1:108919150-108922417	10.0	3.0
TMEM167B	chr1:109091748-109092890	0.0	2.0
SARS1	chr1:109214128-109223982	1.0	9.0
ATXN7L2	chr1:109484831-109485332	0.0	2.0
ATXN7L2	chr1:109486304-109486506	1.0	9.0
ATXN7L2	chr1:109484080-109485332	1.0	9.0
ATXN7L2	chr1:109489100-109489283	7.0	3.0
ATXN7L2	chr1:109489706-109489930	6.0	4.0
ATXN7L2	chr1:109484080-109484651	1.0	1.0
AMPD2	chr1:109627518-109627778	8.0	9.0
AMPD2	chr1:109621266-109625662	1.0	14.0
AMPD2	chr1:109629490-109629800	14.0	3.0
AMPD2	chr1:109627316-109627413	7.0	10.0
AMPD2	chr1:109628277-109628369	10.0	7.0
AMPD2	chr1:109629486-109629796	14.0	3.0
AMPD2	chr1:109625805-109626160	2.0	15.0
AMPD2	chr1:109627330-109627429	6.0	11.0
AMPD2	chr1:109628495-109628627	11.0	6.0
GSTM4	chr1:109659959-109661165	6.0	1.0
GSTM4	chr1:109657279-109657350	3.0	4.0
GSTM2	chr1:109670234-109671287	4.0	3.0
AHCYL1	chr1:110018650-110018875	12.0	3.0
AHCYL1	chr1:110011357-110012387	2.0	13.0
STRIP1	chr1:110039515-110039824	3.0	15.0
STRIP1	chr1:110039937-110040635	2.0	16.0
STRIP1	chr1:110044442-110044840	7.0	11.0
STRIP1	chr1:110039468-110040635	3.0	15.0
STRIP1	chr1:110043856-110044319	8.0	10.0
CHI3L2	chr1:111239363-111241327	7.0	2.0
CHI3L2	chr1:111230531-111230742	1.0	8.0
CHI3L2	chr1:111229942-111230742	1.0	8.0
CHI3L2	chr1:111229881-111230866	2.0	7.0
ATP5PB	chr1:111449873-111456086	0.0	4.0
ATP5PB	chr1:111449873-111454221	2.0	4.0
RAP1A	chr1:111691417-111695345	1.0	4.0
RAP1A	chr1:111691364-111695341	1.0	4.0
CAPZA1	chr1:112619883-112646755	1.0	8.0
MOV10	chr1:112698478-112698638	15.0	4.0
MOV10	chr1:112698789-112699458	16.0	3.0
MOV10	chr1:112696283-112696437	11.0	8.0
TTF2	chr1:117097433-117098206	21.0	1.0
TTF2	chr1:117060561-117062387	1.0	21.0
TTF2	chr1:117098238-117098833	20.0	2.0
PHGDH	chr1:119727102-119729509	0.0	7.0
PHGDH	chr1:119724967-119726851	0.0	7.0
PHGDH	chr1:119724957-119726851	0.0	7.0
PHGDH	chr1:119724469-119726851	0.0	7.0
PHGDH	chr1:119723441-119724319	0.0	7.0
PHGDH	chr1:119712160-119721267	1.0	2.0
PHGDH	chr1:119724875-119726851	0.0	7.0
PHGDH	chr1:119723441-119724785	0.0	7.0
PHGDH	chr1:119721654-119723376	1.0	2.0
PHGDH	chr1:119712160-119721256	5.0	6.0
PHGDH	chr1:119721334-119723376	1.0	2.0
PHGDH	chr1:119729633-119734634	0.0	7.0
GPR89A	chr1:145623160-145623593	3.0	9.0
GPR89A	chr1:145643978-145645647	7.0	5.0
GPR89A	chr1:145616293-145618299	2.0	11.0
POLR3C	chr1:145840165-145840974	12.0	1.0
POLR3C	chr1:145833364-145833474	5.0	8.0
NBPF12	chr1:146983011-146984134	18.0	12.0
CHD1L	chr1:147255927-147259837	0.0	4.0
CHD1L	chr1:147243167-147252623	0.0	5.0
CHD1L	chr1:147252735-147254898	2.0	8.0
CHD1L	chr1:147271195-147272171	10.0	12.0
CHD1L	chr1:147272281-147272447	0.0	22.0
CHD1L	chr1:147294014-147294384	0.0	22.0
CHD1L	chr1:147271113-147272171	10.0	12.0
CHD1L	chr1:147293722-147293925	10.0	1.0
CHD1L	chr1:147259918-147264429	6.0	4.0
CHD1L	chr1:147272630-147275354	11.0	11.0
CHD1L	chr1:147266801-147267426	7.0	3.0
CHD1L	chr1:147256570-147259837	4.0	6.0
GPR89B	chr1:147943544-147943977	4.0	9.0
GPR89B	chr1:147966663-147968358	8.0	2.0
GPR89B	chr1:147966663-147968332	8.0	2.0
PDE4DIP	chr1:148889894-148931800	0.0	2.0
PDE4DIP	chr1:149018661-149019491	37.0	8.0
PDE4DIP	chr1:149031224-149031944	45.0	1.0
PDE4DIP	chr1:148889894-148937747	0.0	2.0
PDE4DIP	chr1:148979849-149026715	0.0	2.0
VPS45	chr1:150082951-150091937	9.0	5.0
VPS45	chr1:150082051-150082716	8.0	6.0
VPS45	chr1:150068356-150068630	0.0	14.0
VPS45	chr1:150067950-150068610	1.0	13.0
VPS45	chr1:150092409-150093534	12.0	2.0
VPS45	chr1:150143066-150144709	11.0	1.0
VPS45	chr1:150077779-150081407	7.0	7.0
PLEKHO1	chr1:150157015-150157372	4.0	1.0
PLEKHO1	chr1:150156206-150156859	3.0	2.0
C1orf54	chr1:150275799-150276527	3.0	1.0
PRPF3	chr1:150325881-150327557	2.0	12.0
PRPF3	chr1:150338326-150340403	7.0	7.0
PRPF3	chr1:150344261-150344376	10.0	4.0
PRPF3	chr1:150346501-150349157	13.0	1.0
TARS2	chr1:150491511-150492411	3.0	1.0
SETDB1	chr1:150927974-150929998	1.0	19.0
SETDB1	chr1:150949268-150949370	10.0	10.0
SCNM1	chr1:151167414-151168194	4.0	1.0
SCNM1	chr1:151167414-151168125	4.0	1.0
SCNM1	chr1:151167414-151168149	4.0	1.0
PIP5K1A	chr1:151233398-151234197	5.0	8.0
PIP5K1A	chr1:151240039-151242180	11.0	1.0
PIP5K1A	chr1:151199187-151224245	0.0	13.0
PIP5K1A	chr1:151240039-151242128	12.0	1.0
PSMD4	chr1:151254803-151262161	1.0	8.0
PSMD4	chr1:151265028-151265166	3.0	6.0
PSMD4	chr1:151266198-151266308	6.0	3.0
PSMD4	chr1:151254931-151262161	0.0	9.0
PSMB4	chr1:151400185-151400442	2.0	4.0
SNX27	chr1:151612512-151658235	1.0	9.0
SNX27	chr1:151612381-151638888	1.0	10.0
SNX27	chr1:151658427-151659584	0.0	9.0
SNAPIN	chr1:153658886-153659119	1.0	2.0
INTS3	chr1:153760918-153761020	13.0	16.0
INTS3	chr1:153763886-153764122	18.0	11.0
INTS3	chr1:153770733-153771596	25.0	4.0
INTS3	chr1:153757763-153761570	0.0	1.0
INTS3	chr1:153765063-153767679	21.0	8.0
INTS3	chr1:153765063-153767720	20.0	9.0
INTS3	chr1:153761109-153761570	12.0	17.0
CREB3L4	chr1:153969753-153972744	2.0	6.0
UBAP2L	chr1:154241797-154243217	7.0	18.0
UBAP2L	chr1:154260029-154260966	23.0	2.0
HAX1	chr1:154272776-154272887	1.0	5.0
