Gene_name	Intron_coord	PTC_position	Exon_length
THEMIS2	chr1:27876728-27879949	18	105
THEMIS2	chr1:27872640-27876588	87	141
XKR8	chr1:27964235-27965351	534	639
SESN2	chr1:28271871-28272318	201	213
PHACTR4	chr1:28457859-28459085	24	174
PHACTR4	chr1:28439361-28457832	921	975
PHACTR4	chr1:28489894-28490951	636	726
RCC1	chr1:28535380-28535610	396	417
RCC1	chr1:28535656-28535871	60	399
TRNAU1AP	chr1:28553311-28553640	102	201
TRNAU1AP	chr1:28553307-28553640	96	195
TRNAU1AP	chr1:28561260-28561346	510	630
TRNAU1AP	chr1:28560732-28561113	240	285
TRNAU1AP	chr1:28560732-28560868	474	531
YTHDF2	chr1:28737797-28738259	36	81
EPB41	chr1:29031913-29033093	45	75
EPB41	chr1:29035283-29035826	45	75
EPB41	chr1:29065158-29065684	117	75
EPB41	chr1:29065825-29068733	645	843
EPB41	chr1:29033245-29035006	837	918
EPB41	chr1:29030487-29031788	276	294
SERINC2	chr1:31427351-31428978	465	699
KHDRBS1	chr1:32038119-32038552	42	285
TMEM39B	chr1:32073872-32074951	609	825
TMEM39B	chr1:32076846-32077243	21	75
TMEM39B	chr1:32095762-32100442	786	978
TMEM39B	chr1:32075822-32076564	708	753
TMEM39B	chr1:32075077-32075667	78	156
TMEM39B	chr1:32073098-32074951	21	126
TMEM39B	chr1:32075822-32076132	663	714
TMEM39B	chr1:32076254-32076763	345	654
KPNA6	chr1:32159531-32160619	63	84
KPNA6	chr1:32108134-32154590	84	132
KPNA6	chr1:32157038-32157346	42	186
TXLNA	chr1:32188124-32190059	141	189
CCDC28B	chr1:32204045-32204233	87	147
EIF3I	chr1:32226320-32228499	84	111
EIF3I	chr1:32224475-32226105	171	216
EIF3I	chr1:32226283-32226403	105	126
EIF3I	chr1:32224475-32226149	93	171
EIF3I	chr1:32229024-32229135	177	297
LCK	chr1:32276047-32276337	123	153
LCK	chr1:32274818-32275321	66	99
LCK	chr1:32275672-32275949	75	114
HDAC1	chr1:32327458-32327536	339	519
HDAC1	chr1:32324553-32326943	126	135
HDAC1	chr1:32327077-32327406	147	273
RBBP4	chr1:32651654-32651914	261	348
ZMYM4	chr1:35397123-35397377	399	573
ZMYM4	chr1:35396670-35397052	477	492
ZMYM4	chr1:35362266-35370029	429	648
NCDN	chr1:35558484-35559107	108	294
NCDN	chr1:35562633-35562792	516	636
AGO1	chr1:35893278-35893592	96	219
AGO1	chr1:35888610-35892528	165	183
AGO1	chr1:35917727-35917947	354	477
AGO1	chr1:35918070-35918322	123	477
MAP7D1	chr1:36177574-36177873	438	876
THRAP3	chr1:36294241-36296583	294	393
SH3D21	chr1:36308475-36309292	261	297
SH3D21	chr1:36307963-36308389	72	195
SH3D21	chr1:36308475-36309511	84	96
SH3D21	chr1:36319312-36319675	144	243
ZC3H12A	chr1:37481835-37482350	156	192
MACF1	chr1:39327353-39328601	15	48
PPIE	chr1:39742031-39743216	27	84
PPIE	chr1:39739293-39740165	330	393
PPIE	chr1:39738923-39740165	3	99
MFSD2A	chr1:39957960-39958701	642	873
RLF	chr1:40195764-40201928	645	687
ZMPSTE24	chr1:40272035-40281365	120	162
ZMPSTE24	chr1:40260985-40267391	375	480
SMAP2	chr1:40374223-40406800	39	69
CTPS1	chr1:41006094-41007456	48	90
CTPS1	chr1:40997526-40999830	60	90
CTPS1	chr1:40997526-41000435	678	681
CTPS1	chr1:41001584-41002160	462	555
CTPS1	chr1:40997526-41000973	99	144
CTPS1	chr1:41008714-41008771	93	120
PPCS	chr1:42457567-42459603	186	309
CCDC30	chr1:42611090-42630404	114	117
CCDC30	chr1:42556405-42558139	114	117
CCDC30	chr1:42536601-42537192	36	54
CCDC30	chr1:42498916-42506947	36	54
CCDC30	chr1:42589483-42590295	114	117
CCDC30	chr1:42589483-42590315	114	117
CCDC30	chr1:42558276-42566296	57	60
CCDC30	chr1:42545579-42566296	57	60
CCDC30	chr1:42498916-42534889	36	54
CCDC30	chr1:42498916-42529602	36	54
CCDC30	chr1:42507069-42566296	57	60
CCDC30	chr1:42577229-42581427	72	87
CCDC30	chr1:42577229-42580832	669	681
CCDC30	chr1:42639415-42642473	114	117
CCDC30	chr1:42498916-42521163	36	54
CCDC30	chr1:42637378-42639225	114	117
CCDC30	chr1:42580981-42581360	57	60
CCDC30	chr1:42521256-42566296	57	60
CCDC30	chr1:42537290-42539173	615	813
CCDC30	chr1:42630525-42637237	114	117
PPIH	chr1:42658512-42658848	48	60
PPIH	chr1:42659370-42659522	21	144
PPIH	chr1:42660904-42663418	0	42
C1orf50	chr1:42767624-42773546	45	102
ERMAP	chr1:42835165-42835732	3	129
ERMAP	chr1:42835760-42837158	0	21
CFAP57	chr1:43219631-43221372	75	249
CFAP57	chr1:43222997-43224051	132	153
TIE1	chr1:43312131-43312478	120	291
SZT2	chr1:43438193-43438699	279	402
SZT2	chr1:43432359-43432517	39	87
SZT2	chr1:43426151-43426438	351	372
SZT2	chr1:43442130-43442237	63	132
SZT2	chr1:43432180-43432272	192	465
SZT2	chr1:43416004-43416535	93	105
SZT2	chr1:43430789-43430954	96	108
SZT2	chr1:43439477-43439605	144	165
SZT2	chr1:43419961-43420153	213	234
SZT2	chr1:43431901-43432062	318	378
SZT2	chr1:43422632-43422821	201	219
SZT2	chr1:43433190-43434034	435	453
KDM4A	chr1:43653799-43655591	447	624
ST3GAL3	chr1:43858308-43894383	6	48
ST3GAL3	chr1:43831794-43838219	6	48
ST3GAL3	chr1:43838311-43858135	6	48
ST3GAL3	chr1:43838311-43879027	6	48
ST3GAL3	chr1:43879507-43894383	6	48
ST3GAL3	chr1:43814933-43819114	6	48
ST3GAL3	chr1:43838311-43879335	6	48
ST3GAL3	chr1:43899289-43899541	21	123
ST3GAL3	chr1:43900833-43920404	15	42
ST3GAL3	chr1:43899727-43911875	15	42
ST3GAL3	chr1:43815004-43838219	66	114
ST3GAL3	chr1:43899263-43899509	204	219
ST3GAL3	chr1:43819236-43838219	6	48
ST3GAL3	chr1:43814933-43824832	84	93
ST3GAL3	chr1:43792149-43801282	6	48
DPH2	chr1:43970817-43970966	195	222
DPH2	chr1:43971540-43972158	141	177
DPH2	chr1:43971220-43971387	348	624
DPH2	chr1:43970314-43970596	93	114
DPH2	chr1:43970708-43970906	240	285
ATP6V0B	chr1:43975307-43975800	75	84
ATP6V0B	chr1:43975974-43976090	120	174
ATP6V0B	chr1:43975103-43975800	75	84
ATP6V0B	chr1:43975107-43975665	108	183
B4GALT2	chr1:43981473-43981733	93	192
DMAP1	chr1:44214898-44217990	474	480
DMAP1	chr1:44219477-44219780	93	99
RNF220	chr1:44632895-44635545	327	552
RNF220	chr1:44632212-44632343	84	123
KIF2C	chr1:44755983-44756115	87	123
KIF2C	chr1:44747700-44750309	219	255
RPS8	chr1:44777737-44778000	129	132
RPS8	chr1:44775882-44776034	240	285
RPS8	chr1:44776739-44777614	162	177
RPS8	chr1:44776772-44777614	162	177
UROD	chr1:45013426-45013594	54	135
UROD	chr1:45013215-45013355	417	435
UROD	chr1:45013354-45013575	84	216
TOE1	chr1:45342643-45342735	249	270
TOE1	chr1:45340542-45341073	165	288
TOE1	chr1:45342643-45342739	78	264
MMACHC	chr1:45507550-45508214	117	150
AKR1A1	chr1:45569006-45569143	78	87
NASP	chr1:45602365-45604917	81	102
RAD54L	chr1:46270785-46271368	81	126
RAD54L	chr1:46261074-46261261	45	348
RAD54L	chr1:46273465-46274138	18	36
RAD54L	chr1:46271442-46272466	651	783
RAD54L	chr1:46248623-46250000	111	120
UQCRH	chr1:46310044-46310155	879	942
UQCRH	chr1:46309143-46310155	81	162
NSUN4	chr1:46340919-46344782	291	363
NSUN4	chr1:46341497-46344801	540	669
OSBPL9	chr1:51756995-51760690	621	675
OSBPL9	chr1:51652041-51714003	69	129
OSBPL9	chr1:51756358-51760666	90	114
OSBPL9	chr1:51669814-51714003	192	381
OSBPL9	chr1:51765981-51772605	72	75
BTF3L4	chr1:52065408-52086112	462	582
BTF3L4	chr1:52060659-52064825	741	810
PRPF38A	chr1:52405313-52405680	288	564
PRPF38A	chr1:52404879-52405260	552	579
ZYG11B	chr1:52801952-52802092	6	48
SCP2	chr1:53015043-53038917	63	78
CPT2	chr1:53197507-53200719	408	564
HOOK1	chr1:59862877-59863825	738	840
HOOK1	chr1:59822090-59828780	141	231
HOOK1	chr1:59815351-59821858	33	234
PATJ	chr1:61827583-61833358	387	426
PATJ	chr1:62117218-62121186	9	39
ALG6	chr1:63371287-63396513	177	309
ALG6	chr1:63407126-63411255	120	135
ALG6	chr1:63412061-63414071	42	75
ALG6	chr1:63414146-63415818	135	141
ALG6	chr1:63411331-63411682	366	381
ALG6	chr1:63411806-63411926	471	663
ALG6	chr1:63411155-63411926	117	135
AK4	chr1:65149140-65190710	534	732
MIER1	chr1:66925381-66926142	231	351
MIER1	chr1:66925534-66926142	384	504
GADD45A	chr1:67686822-67687661	162	474
SRSF11	chr1:70221839-70228465	51	93
SRSF11	chr1:70228555-70231859	468	519
SRSF11	chr1:70228555-70230557	129	132
SRSF11	chr1:70228555-70229210	129	132
SRSF11	chr1:70247149-70249952	237	333
SRSF11	chr1:70228555-70231095	129	132
CTH	chr1:70411656-70415956	30	240
FPGT-TNNI3K	chr1:74199845-74201318	9	93
FPGT	chr1:74199831-74200692	663	720
TYW3	chr1:74733531-74736542	72	285
ACADM	chr1:75733149-75734791	204	297
ACADM	chr1:75734875-75739980	96	132
ACADM	chr1:75740110-75745835	78	81
ACADM	chr1:75732741-75732860	54	63
ACADM	chr1:75732741-75732838	69	84
ACADM	chr1:75734869-75739980	96	132
ACADM	chr1:75732745-75732853	48	69
RABGGTB	chr1:75786797-75787497	267	525
RABGGTB	chr1:75786274-75786700	900	903
RABGGTB	chr1:75786916-75787497	387	645
RABGGTB	chr1:75790517-75791285	414	564
RABGGTB	chr1:75786854-75787497	324	582
RABGGTB	chr1:75786965-75787497	435	693
RABGGTB	chr1:75786865-75787497	336	594
RABGGTB	chr1:75791571-75792197	72	108
RABGGTB	chr1:75788121-75789159	468	624
MIGA1	chr1:77779736-77783243	75	108
IFI44L	chr1:78641121-78641505	84	105
IFI44L	chr1:78635489-78637100	60	102
IFI44L	chr1:78629915-78635342	132	147
IFI44	chr1:78655209-78655367	129	144
IFI44	chr1:78661456-78662704	675	903
IFI44	chr1:78660691-78662704	132	174
RPF1	chr1:84496072-84496244	3	189
ZNF326	chr1:90005244-90007634	102	117
CDC7	chr1:91514997-91515742	123	135
RPL5	chr1:92833949-92834779	192	327
RPL5	chr1:92836392-92837506	57	129
MTF2	chr1:93120894-93127232	132	348
MTF2	chr1:93110630-93114688	27	96
MTF2	chr1:93079531-93110327	42	102
CCDC18	chr1:93239896-93246838	27	96
CCDC18	chr1:93237380-93239310	27	96
CCDC18	chr1:93203139-93205510	84	90
CCDC18	chr1:93207402-93210802	99	126
CCDC18	chr1:93218652-93221609	750	915
CCDC18	chr1:93236390-93237262	27	96
CCDC18	chr1:93214961-93216636	75	111
CCDC18	chr1:93201988-93203037	84	90
CCDC18	chr1:93221940-93226333	111	117
RWDD3	chr1:95244715-95246542	0	504
TRMT13	chr1:100144143-100148093	186	234
TRMT13	chr1:100140514-100140865	135	153
TRMT13	chr1:100140514-100140967	24	51
RTCA	chr1:100268295-100270579	48	102
RTCA	chr1:100266624-100268074	201	222
RTCA	chr1:100266624-100268137	144	159
SLC30A7	chr1:100912246-100913663	105	144
RNPC3	chr1:103546808-103546977	450	561
RNPC3	chr1:103527742-103533773	72	84
PRPF38B	chr1:108696337-108697947	867	879
PRPF38B	chr1:108695780-108696043	24	153
PRPF38B	chr1:108696351-108698604	216	225
STXBP3	chr1:108759223-108759985	582	714
GPSM2	chr1:108919150-108922417	345	537
TMEM167B	chr1:109091748-109092890	855	876
SARS1	chr1:109214128-109223982	45	66
ATXN7L2	chr1:109484831-109485332	741	876
ATXN7L2	chr1:109486304-109486506	90	249
ATXN7L2	chr1:109484080-109485332	609	792
ATXN7L2	chr1:109489100-109489283	786	846
ATXN7L2	chr1:109489706-109489930	594	858
ATXN7L2	chr1:109484080-109484651	807	858
AMPD2	chr1:109627518-109627778	93	126
AMPD2	chr1:109621266-109625662	210	567
AMPD2	chr1:109629490-109629800	90	117
AMPD2	chr1:109627316-109627413	60	108
AMPD2	chr1:109628277-109628369	105	126
AMPD2	chr1:109629486-109629796	90	120
AMPD2	chr1:109625805-109626160	9	144
AMPD2	chr1:109627330-109627429	9	156
AMPD2	chr1:109628495-109628627	84	180
GSTM4	chr1:109659959-109661165	684	960
GSTM4	chr1:109657279-109657350	174	321
GSTM2	chr1:109670234-109671287	567	765
AHCYL1	chr1:110018650-110018875	198	243
AHCYL1	chr1:110011357-110012387	30	75
STRIP1	chr1:110039515-110039824	822	882
STRIP1	chr1:110039937-110040635	417	543
STRIP1	chr1:110044442-110044840	582	804
STRIP1	chr1:110039468-110040635	15	69
STRIP1	chr1:110043856-110044319	567	588
CHI3L2	chr1:111239363-111241327	381	612
CHI3L2	chr1:111230531-111230742	642	681
CHI3L2	chr1:111229942-111230742	51	90
CHI3L2	chr1:111229881-111230866	33	78
ATP5PB	chr1:111449873-111456086	252	330
ATP5PB	chr1:111449873-111454221	48	138
RAP1A	chr1:111691417-111695345	15	63
RAP1A	chr1:111691364-111695341	36	69
CAPZA1	chr1:112619883-112646755	504	519
MOV10	chr1:112698478-112698638	114	150
MOV10	chr1:112698789-112699458	237	351
MOV10	chr1:112696283-112696437	9	99
TTF2	chr1:117097433-117098206	699	702
TTF2	chr1:117060561-117062387	0	108
TTF2	chr1:117098238-117098833	801	888
PHGDH	chr1:119727102-119729509	0	45
PHGDH	chr1:119724967-119726851	0	45
PHGDH	chr1:119724957-119726851	0	45
PHGDH	chr1:119724469-119726851	0	45
PHGDH	chr1:119723441-119724319	0	45
PHGDH	chr1:119712160-119721267	0	54
PHGDH	chr1:119724875-119726851	0	45
PHGDH	chr1:119723441-119724785	0	45
PHGDH	chr1:119721654-119723376	327	483
PHGDH	chr1:119712160-119721256	117	132
PHGDH	chr1:119721334-119723376	9	165
PHGDH	chr1:119729633-119734634	0	45
GPR89A	chr1:145623160-145623593	60	123
GPR89A	chr1:145643978-145645647	570	627
GPR89A	chr1:145616293-145618299	105	123
POLR3C	chr1:145840165-145840974	60	99
POLR3C	chr1:145833364-145833474	51	108
NBPF12	chr1:146983011-146984134	147	171
CHD1L	chr1:147255927-147259837	102	123
CHD1L	chr1:147243167-147252623	117	462
CHD1L	chr1:147252735-147254898	69	78
CHD1L	chr1:147271195-147272171	147	264
CHD1L	chr1:147272281-147272447	3	102
CHD1L	chr1:147294014-147294384	3	102
CHD1L	chr1:147271113-147272171	66	183
CHD1L	chr1:147293722-147293925	453	594
CHD1L	chr1:147259918-147264429	153	156
CHD1L	chr1:147272630-147275354	327	459
CHD1L	chr1:147266801-147267426	675	870
CHD1L	chr1:147256570-147259837	3	39
GPR89B	chr1:147943544-147943977	60	123
GPR89B	chr1:147966663-147968358	69	81
GPR89B	chr1:147966663-147968332	69	81
PDE4DIP	chr1:148889894-148931800	45	78
PDE4DIP	chr1:149018661-149019491	786	846
PDE4DIP	chr1:149031224-149031944	678	993
PDE4DIP	chr1:148889894-148937747	45	78
PDE4DIP	chr1:148979849-149026715	81	90
VPS45	chr1:150082951-150091937	51	234
VPS45	chr1:150082051-150082716	45	168
VPS45	chr1:150068356-150068630	324	498
VPS45	chr1:150067950-150068610	123	153
VPS45	chr1:150092409-150093534	21	114
VPS45	chr1:150143066-150144709	105	231
VPS45	chr1:150077779-150081407	51	69
PLEKHO1	chr1:150157015-150157372	90	114
PLEKHO1	chr1:150156206-150156859	138	156
C1orf54	chr1:150275799-150276527	96	105
PRPF3	chr1:150325881-150327557	846	909
PRPF3	chr1:150338326-150340403	24	75
PRPF3	chr1:150344261-150344376	105	174
PRPF3	chr1:150346501-150349157	57	63
TARS2	chr1:150491511-150492411	777	837
SETDB1	chr1:150927974-150929998	45	123
SETDB1	chr1:150949268-150949370	117	156
SCNM1	chr1:151167414-151168194	114	147
SCNM1	chr1:151167414-151168125	195	216
SCNM1	chr1:151167414-151168149	114	192
PIP5K1A	chr1:151233398-151234197	615	846
PIP5K1A	chr1:151240039-151242180	285	387
PIP5K1A	chr1:151199187-151224245	69	189
PIP5K1A	chr1:151240039-151242128	108	132
PSMD4	chr1:151254803-151262161	126	141
PSMD4	chr1:151265028-151265166	57	195
PSMD4	chr1:151266198-151266308	42	195
PSMD4	chr1:151254931-151262161	117	147
PSMB4	chr1:151400185-151400442	141	147
SNX27	chr1:151612512-151658235	114	195
SNX27	chr1:151612381-151638888	213	231
SNX27	chr1:151658427-151659584	111	138
SNAPIN	chr1:153658886-153659119	12	66
INTS3	chr1:153760918-153761020	597	657
INTS3	chr1:153763886-153764122	24	45
INTS3	chr1:153770733-153771596	360	369
INTS3	chr1:153757763-153761570	123	126
INTS3	chr1:153765063-153767679	57	69
INTS3	chr1:153765063-153767720	72	108
INTS3	chr1:153761109-153761570	186	282
CREB3L4	chr1:153969753-153972744	249	420
UBAP2L	chr1:154241797-154243217	186	285
UBAP2L	chr1:154260029-154260966	45	69
HAX1	chr1:154272776-154272887	651	714
ATP8B2	chr1:154344254-154344373	60	129
ATP8B2	chr1:154337544-154340537	144	528
CKS1B	chr1:154975624-154977987	795	879
CKS1B	chr1:154975608-154977987	777	861
CKS1B	chr1:154975104-154977987	273	357
FLAD1	chr1:154988849-154989580	102	129
FLAD1	chr1:154990528-154992565	195	222
ADAM15	chr1:155061193-155061415	66	75
ADAM15	chr1:155054506-155055787	63	66
ADAM15	chr1:155053988-155054083	96	144
ADAM15	chr1:155054506-155055702	84	150
ADAM15	chr1:155051465-155052517	96	261
ADAM15	chr1:155060832-155061114	369	375
ADAM15	chr1:155062117-155062245	96	213
EFNA4-EFNA3	chr1:155085642-155085877	228	552
EFNA3	chr1:155085642-155085877	228	552
SLC50A1	chr1:155136396-155137561	126	162
MTX1	chr1:155210435-155210548	162	183
MTX1	chr1:155211546-155212127	885	999
FDPS	chr1:155318763-155318856	6	99
FDPS	chr1:155310453-155312255	231	411
FDPS	chr1:155318377-155318665	39	207
RUSC1	chr1:155325490-155325601	54	72
MSTO1	chr1:155610961-155611039	285	537
MSTO1	chr1:155611291-155611427	96	177
MSTO1	chr1:155611827-155611921	165	180
MSTO1	chr1:155610332-155610394	66	72
MSTO1	chr1:155611827-155611988	9	114
MSTO1	chr1:155612570-155612806	162	168
MSTO1	chr1:155612570-155612867	24	108
MSTO1	chr1:155611291-155611411	177	192
MSTO1	chr1:155611852-155611983	9	117
DAP3	chr1:155721680-155725382	105	111
DAP3	chr1:155731415-155731924	60	108
DAP3	chr1:155726019-155726134	3	81
LMNA	chr1:156126949-156130617	720	744
LMNA	chr1:156134523-156134805	159	171
LMNA	chr1:156136549-156136921	48	108
SEMA4A	chr1:156158486-156158702	90	117
SEMA4A	chr1:156160638-156160905	42	195
SEMA4A	chr1:156154985-156156414	153	162
SEMA4A	chr1:156158486-156158672	147	153
SLC25A44	chr1:156200472-156207891	102	123
PMF1	chr1:156213176-156220677	132	150
PMF1	chr1:156225668-156232320	132	150
NAXE	chr1:156591986-156592105	21	105
METTL25B	chr1:156734459-156735725	150	186
METTL25B	chr1:156733625-156734009	45	249
PRCC	chr1:156791162-156791253	267	282
NCSTN	chr1:160350250-160351696	462	510
NCSTN	chr1:160353501-160354118	255	342
NCSTN	chr1:160353237-160353323	957	966
NCSTN	chr1:160350250-160351200	96	111
NCSTN	chr1:160343481-160344476	225	351
NCSTN	chr1:160356754-160357129	93	123
NCSTN	chr1:160343888-160344722	372	492
NCSTN	chr1:160344614-160344722	780	912
SLAMF7	chr1:160739750-160748194	117	447
LY9	chr1:160800082-160813581	225	330
LY9	chr1:160796311-160799686	390	396
NIT1	chr1:161119388-161119493	63	120
NIT1	chr1:161118209-161118786	27	33
NIT1	chr1:161118239-161118786	57	63
UFC1	chr1:161154070-161156950	42	69
USP21	chr1:161163922-161164164	84	87
PPOX	chr1:161167486-161167610	324	519
PPOX	chr1:161169720-161170409	642	726
PPOX	chr1:161168127-161168445	105	189
PPOX	chr1:161168127-161168413	156	162
PPOX	chr1:161167234-161167995	0	39
PPOX	chr1:161167707-161167995	216	336
PPOX	chr1:161167234-161167355	108	132
PPOX	chr1:161167234-161167339	132	147
NDUFS2	chr1:161212480-161213090	339	384
NDUFS2	chr1:161202480-161203403	126	141
NDUFS2	chr1:161214020-161214156	78	156
NDUFS2	chr1:161210710-161212403	69	78
NDUFS2	chr1:161209595-161209843	75	87
NDUFS2	chr1:161214053-161214156	111	189
NDUFS2	chr1:161212654-161213090	339	384
NDUFS2	chr1:161214032-161214156	90	168
NDUFS2	chr1:161212480-161213087	384	387
SDHC	chr1:161314874-161323614	444	468
FCGR2C	chr1:161581549-161588422	219	258
FCGR2C	chr1:161589819-161591144	219	258
FCGR2C	chr1:161590218-161591144	618	657
FCGR2C	chr1:161588442-161589562	219	258
FCGR2C	chr1:161588442-161589565	219	255
FCGR2C	chr1:161589819-161590081	219	258
FCGR2B	chr1:161673229-161673464	549	609
FCRLA	chr1:161710863-161711208	258	267
FCRLA	chr1:161707472-161710760	120	258
FCRLA	chr1:161707343-161710545	336	369
FCRLA	chr1:161707343-161710440	336	474
DUSP12	chr1:161750145-161751655	57	129
ATF6	chr1:161778316-161781912	48	90
ATF6	chr1:161778695-161781912	360	453
