Gene_name	Intron_coord	ejc_distance
ENSA	chr1:150625808-150627574	153
GOLPH3L	chr1:150649227-150661814	-1
MRPL9	chr1:151760899-151762113	6
CRTC2	chr1:153948900-153949115	429
C1orf43	chr1:154207648-154212286	93
CLK2	chr1:155263708-155263950	-1
CLK2	chr1:155263400-155263573	351
RIT1	chr1:155904610-155904731	288
KHDC4	chr1:155916709-155917499	84
SSR2	chr1:156012565-156014961	717
GLMP	chr1:156293209-156293618	336
MRPL24	chr1:156737534-156737731	-1
PEX19	chr1:160279582-160279801	-1
CD84	chr1:160550846-160550938	849
CD244	chr1:160832719-160834051	171
DEDD	chr1:161123174-161123839	180
TMCO1	chr1:165743255-165752102	57
NME7	chr1:169132817-169169433	3
CENPL	chr1:173803505-173806459	513
MRPS14	chr1:175018576-175023272	111
GLUL	chr1:182385887-182386362	99
TRMT1L	chr1:185120271-185120359	18
TMEM9	chr1:201143951-201146771	69
TMEM9	chr1:201136067-201143820	-1
EIF2D	chr1:206594407-206595718	768
TMEM63A	chr1:225847213-225848210	225
CCSAP	chr1:229327558-229342099	798
OPN3	chr1:241597997-241604420	213
ZNF695	chr1:246967792-246988121	90
