Gene_name	Intron_coord	distance_from_start
ZMYM4	chr1:35397123-35397377	4710
ZMYM4	chr1:35396670-35397052	4791
ZMYM4	chr1:35362266-35370029	990
NCDN	chr1:35558484-35559107	186
NCDN	chr1:35558685-35559107	186
AGO1	chr1:35893278-35893592	756
AGO1	chr1:35888610-35892528	375
AGO1	chr1:35917727-35917947	4026
AGO1	chr1:35918070-35918322	3699
THRAP3	chr1:36294241-36296583	2127
SH3D21	chr1:36308475-36309292	1389
SH3D21	chr1:36319536-36319675	600
ZC3H12A	chr1:37481835-37482350	852
PPIE	chr1:39742031-39743216	411
PPIE	chr1:39738931-39740089	39
MFSD2A	chr1:39957960-39958701	417
RLF	chr1:40195764-40201928	969
ZMPSTE24	chr1:40272035-40281365	2661
ZMPSTE24	chr1:40260985-40267391	768
SMAP2	chr1:40374223-40406800	132
NFYC	chr1:40769415-40770323	4956
CTPS1	chr1:41006094-41007456	2526
CTPS1	chr1:40997526-40999830	30
CTPS1	chr1:40997526-41000435	2151
CTPS1	chr1:41001584-41002160	2241
CTPS1	chr1:40997526-41000973	2193
CTPS1	chr1:41008714-41008771	2721
PPCS	chr1:42457567-42459603	123
CCDC30	chr1:42611090-42630404	24
CCDC30	chr1:42556405-42558139	24
CCDC30	chr1:42536601-42537192	18
CCDC30	chr1:42498916-42506947	18
CCDC30	chr1:42589483-42590295	24
CCDC30	chr1:42589483-42590315	24
CCDC30	chr1:42534989-42536476	18
PPIH	chr1:42658512-42658848	144
PPIH	chr1:42659370-42659522	318
PPIH	chr1:42658734-42658844	174
C1orf50	chr1:42767624-42773546	369
ERMAP	chr1:42835165-42835732	558
ERMAP	chr1:42835760-42837158	831
CFAP57	chr1:43219631-43221372	5601
CFAP57	chr1:43222997-43224051	7608
TIE1	chr1:43312131-43312478	2070
SZT2	chr1:43438193-43438699	10017
SZT2	chr1:43432359-43432517	8277
SZT2	chr1:43426151-43426438	5307
SZT2	chr1:43442130-43442237	11979
SZT2	chr1:43432180-43432272	7977
SZT2	chr1:43416004-43416535	2997
SZT2	chr1:43448728-43450143	16263
SZT2	chr1:43430789-43430954	7611
SZT2	chr1:43439477-43439605	11241
SZT2	chr1:43419961-43420153	3885
SZT2	chr1:43431901-43432062	8202
SZT2	chr1:43422632-43422821	3876
SZT2	chr1:43433190-43434034	9108
KDM4A	chr1:43653799-43655591	177
KDM4A	chr1:43653313-43653663	3
ST3GAL3	chr1:43858308-43894383	21
ST3GAL3	chr1:43831794-43838219	21
ST3GAL3	chr1:43838311-43858135	21
ST3GAL3	chr1:43838311-43879027	321
ST3GAL3	chr1:43879507-43894383	21
ST3GAL3	chr1:43814933-43819114	21
ST3GAL3	chr1:43838311-43879335	21
ST3GAL3	chr1:43899289-43899541	561
ST3GAL3	chr1:43899289-43930132	558
DPH2	chr1:43970817-43970966	912
DPH2	chr1:43971540-43972158	819
DPH2	chr1:43971220-43971387	570
DPH2	chr1:43970314-43970596	159
DPH2	chr1:43970708-43970906	450
ATP6V0B	chr1:43975307-43975800	591
ATP6V0B	chr1:43975974-43976090	120
ATP6V0B	chr1:43975107-43976090	75
B4GALT2	chr1:43980614-43981109	39
DMAP1	chr1:44214898-44217990	702
DMAP1	chr1:44220443-44220559	4149
DMAP1	chr1:44219477-44219780	3663
RNF220	chr1:44632895-44635545	1329
RNF220	chr1:44632212-44632343	138
KIF2C	chr1:44755983-44756115	1320
KIF2C	chr1:44747700-44750309	645
RPS8	chr1:44778152-44778576	1209
RPS8	chr1:44777737-44778000	444
RPS8	chr1:44775882-44776034	45
RPS8	chr1:44776739-44777614	297
RPS8	chr1:44776772-44777614	330
UROD	chr1:45013426-45013594	270
UROD	chr1:45013215-45013355	312
UROD	chr1:45012285-45012857	63
TOE1	chr1:45342643-45342735	1272
TOE1	chr1:45340542-45341073	123
TOE1	chr1:45342643-45342739	1437
MMACHC	chr1:45507550-45508214	666
AKR1A1	chr1:45569006-45569143	1326
NASP	chr1:45602365-45604917	237
RAD54L	chr1:46270785-46271368	45
RAD54L	chr1:46261074-46261261	1155
RAD54L	chr1:46273465-46274138	18
RAD54L	chr1:46271442-46272466	1674
RAD54L	chr1:46248623-46250000	126
UQCRH	chr1:46310044-46310155	171
UQCRH	chr1:46309143-46310155	231
NSUN4	chr1:46344962-46346921	702
OSBPL9	chr1:51756995-51760690	150
OSBPL9	chr1:51748398-51749502	1530
BTF3L4	chr1:52065408-52086112	228
BTF3L4	chr1:52060659-52064825	69
PRPF38A	chr1:52405313-52405680	276
PRPF38A	chr1:52404879-52405260	156
ZYG11B	chr1:52801952-52802092	4671
SCP2	chr1:53015043-53038917	15
CPT2	chr1:53197507-53200719	156
HOOK1	chr1:59862877-59863825	3024
HOOK1	chr1:59822090-59828780	216
HOOK1	chr1:59815351-59821858	201
PATJ	chr1:61827583-61833358	4629
PATJ	chr1:62117218-62121186	13176
ALG6	chr1:63371287-63396513	132
ALG6	chr1:63407126-63411255	669
ALG6	chr1:63412061-63414071	1071
ALG6	chr1:63414146-63415818	1128
ALG6	chr1:63411331-63411682	777
ALG6	chr1:63411806-63411926	768
ALG6	chr1:63411155-63411926	618
AK4	chr1:65149140-65190710	198
MIER1	chr1:66925381-66926142	120
MIER1	chr1:66925534-66926142	120
GADD45A	chr1:67686822-67687661	354
SRSF11	chr1:70221839-70228465	243
SRSF11	chr1:70228555-70231859	387
SRSF11	chr1:70228555-70230557	3
SRSF11	chr1:70228555-70229210	3
SRSF11	chr1:70247149-70249952	1341
SRSF11	chr1:70228555-70231095	360
CTH	chr1:70411656-70415956	210
FPGT-TNNI3K	chr1:74199845-74201318	531
FPGT	chr1:74199831-74200692	306
TYW3	chr1:74734182-74736542	213
ACADM	chr1:75733149-75734791	438
ACADM	chr1:75734875-75739980	738
ACADM	chr1:75740110-75745835	1014
ACADM	chr1:75750891-75761122	1404
RABGGTB	chr1:75786797-75787497	258
RABGGTB	chr1:75786274-75786700	9
RABGGTB	chr1:75786916-75787497	258
RABGGTB	chr1:75790517-75791285	882
RABGGTB	chr1:75786854-75787497	258
RABGGTB	chr1:75786965-75787497	258
RABGGTB	chr1:75786865-75787497	258
RABGGTB	chr1:75791571-75792197	1257
RABGGTB	chr1:75788121-75789159	162
MIGA1	chr1:77780192-77783238	204
IFI44L	chr1:78641121-78641505	600
IFI44L	chr1:78635489-78637100	246
IFI44L	chr1:78629915-78635342	936
IFI44	chr1:78655209-78655367	903
IFI44	chr1:78661456-78662704	1785
IFI44	chr1:78660691-78662704	1737
RPF1	chr1:84496072-84496244	2310
ZNF326	chr1:90005244-90007634	222
CDC7	chr1:91514997-91515742	1803
RPL5	chr1:92832251-92833389	75
MTF2	chr1:93120894-93127232	807
MTF2	chr1:93110630-93114688	558
MTF2	chr1:93079531-93110327	63
CCDC18	chr1:93239896-93246838	69
CCDC18	chr1:93237380-93239310	69
CCDC18	chr1:93203139-93205510	6
CCDC18	chr1:93207402-93210802	1839
CCDC18	chr1:93218652-93221609	3441
CCDC18	chr1:93236390-93237262	69
CCDC18	chr1:93214961-93216636	2640
CCDC18	chr1:93201988-93203037	6
CCDC18	chr1:93221940-93226333	4695
RWDD3	chr1:95244715-95246542	588
RWDD3	chr1:95244651-95246542	603
RWDD3	chr1:95244324-95246542	276
SLC35A3	chr1:99993745-99999261	1164
TRMT13	chr1:100144143-100148093	1596
TRMT13	chr1:100140514-100140865	975
TRMT13	chr1:100140514-100140967	984
RTCA	chr1:100268295-100270579	387
RTCA	chr1:100266624-100268074	210
RTCA	chr1:100266624-100268137	204
SLC30A7	chr1:100912246-100913663	873
RNPC3	chr1:103546808-103546977	2046
RNPC3	chr1:103527742-103533773	684
PRPF38B	chr1:108696337-108697947	1254
PRPF38B	chr1:108695780-108696043	759
PRPF38B	chr1:108696351-108698604	1200
STXBP3	chr1:108759223-108759985	519
GPSM2	chr1:108919150-108922417	1902
TMEM167B	chr1:109091748-109092890	21
SARS1	chr1:109214128-109223982	156
ATXN7L2	chr1:109484831-109485332	135
ATXN7L2	chr1:109486304-109486506	285
ATXN7L2	chr1:109484080-109485332	309
ATXN7L2	chr1:109489100-109489283	1275
ATXN7L2	chr1:109485518-109486057	309
ATXN7L2	chr1:109489706-109489930	1227
ATXN7L2	chr1:109484080-109484651	177
AMPD2	chr1:109627518-109627778	1224
AMPD2	chr1:109621266-109625662	390
AMPD2	chr1:109629490-109629800	3177
AMPD2	chr1:109627316-109627413	1149
AMPD2	chr1:109628277-109628369	1998
AMPD2	chr1:109629486-109629796	3177
AMPD2	chr1:109625805-109626160	489
AMPD2	chr1:109627330-109627429	1107
AMPD2	chr1:109628495-109628627	2664
GSTM4	chr1:109659959-109661165	1134
GSTM4	chr1:109657279-109657350	426
GSTM2	chr1:109668483-109668925	138
AHCYL1	chr1:109985543-110009034	369
STRIP1	chr1:110039515-110039824	354
STRIP1	chr1:110039937-110040635	300
STRIP1	chr1:110044442-110044840	1446
STRIP1	chr1:110039468-110040635	378
STRIP1	chr1:110043856-110044319	1461
CHI3L2	chr1:111239363-111241327	1251
CHI3L2	chr1:111230531-111230742	78
CHI3L2	chr1:111229942-111230742	78
CHI3L2	chr1:111229881-111230866	114
ATP5PB	chr1:111449873-111456086	78
ATP5PB	chr1:111449873-111454221	165
RAP1A	chr1:111691417-111695345	162
RAP1A	chr1:111691364-111695341	36
CAPZA1	chr1:112619883-112646755	93
MOV10	chr1:112698478-112698638	3606
MOV10	chr1:112698789-112699458	4146
MOV10	chr1:112696283-112696437	2634
TTF2	chr1:117097433-117098206	5385
TTF2	chr1:117060561-117062387	135
TTF2	chr1:117098238-117098833	5388
PHGDH	chr1:119727102-119729509	45
PHGDH	chr1:119724967-119726851	45
PHGDH	chr1:119724957-119726851	45
PHGDH	chr1:119724469-119726851	45
PHGDH	chr1:119723441-119724319	636
PHGDH	chr1:119712160-119721267	330
PHGDH	chr1:119724875-119726851	45
PHGDH	chr1:119723441-119724785	45
PHGDH	chr1:119721654-119723376	432
PHGDH	chr1:119712160-119721256	1050
PHGDH	chr1:119721334-119723376	432
PHGDH	chr1:119729633-119734634	45
GPR89A	chr1:145623160-145623593	327
GPR89A	chr1:145643978-145645647	735
GPR89A	chr1:145608675-145616234	162
POLR3C	chr1:145840165-145840974	2907
POLR3C	chr1:145833364-145833474	1272
NBPF12	chr1:146983011-146984134	2664
CHD1L	chr1:147255927-147259837	21
CHD1L	chr1:147243167-147252623	345
CHD1L	chr1:147252735-147254898	363
CHD1L	chr1:147271195-147272171	1515
CHD1L	chr1:147272281-147272447	99
CHD1L	chr1:147294014-147294384	99
CHD1L	chr1:147271113-147272171	1515
CHD1L	chr1:147293722-147293925	1881
CHD1L	chr1:147259918-147264429	894
CHD1L	chr1:147243190-147252623	345
GPR89B	chr1:147943544-147943977	519
GPR89B	chr1:147966663-147968358	888
GPR89B	chr1:147966663-147968332	927
PDE4DIP	chr1:148889894-148931800	33
PDE4DIP	chr1:149018661-149019491	16401
PDE4DIP	chr1:149031224-149031944	18429
PDE4DIP	chr1:148889894-148937747	33
PDE4DIP	chr1:148979849-149026715	9
VPS45	chr1:150082951-150091937	3540
VPS45	chr1:150082051-150082716	2718
VPS45	chr1:150068356-150068630	174
VPS45	chr1:150067950-150068610	216
VPS45	chr1:150092409-150093534	6759
VPS45	chr1:150143066-150144709	4848
VPS45	chr1:150077779-150081407	1944
PLEKHO1	chr1:150157015-150157372	1395
PLEKHO1	chr1:150156206-150156859	861
C1orf54	chr1:150275799-150276527	258
PRPF3	chr1:150325881-150327557	471
PRPF3	chr1:150338326-150340403	2334
PRPF3	chr1:150344261-150344376	2676
PRPF3	chr1:150346501-150349157	2940
TARS2	chr1:150491511-150492411	441
TARS2	chr1:150504435-150504636	2721
SETDB1	chr1:150927974-150929998	336
SETDB1	chr1:150949268-150949370	1680
SCNM1	chr1:151167414-151168194	423
SCNM1	chr1:151166252-151166471	147
PIP5K1A	chr1:151240039-151242123	2646
PSMD4	chr1:151254803-151262161	57
PSMD4	chr1:151265028-151265166	537
PSMD4	chr1:151266198-151266308	1890
PSMD4	chr1:151254931-151262161	30
PSMB4	chr1:151400185-151400442	558
SNX27	chr1:151612512-151658235	390
SNX27	chr1:151612381-151638888	378
SNX27	chr1:151658427-151659584	27
SNAPIN	chr1:153658886-153659119	195
INTS3	chr1:153760918-153761020	3219
INTS3	chr1:153763886-153764122	3750
INTS3	chr1:153770733-153771596	4749
INTS3	chr1:153757763-153761570	3
INTS3	chr1:153765063-153767679	4059
INTS3	chr1:153765063-153767720	3933
INTS3	chr1:153761109-153761570	3165
CREB3L4	chr1:153969753-153972744	765
UBAP2L	chr1:154241797-154243217	1338
UBAP2L	chr1:154260029-154260966	4395
HAX1	chr1:154272776-154272887	114
HAX1	chr1:154272776-154273234	105
ATP8B2	chr1:154344254-154344373	3219
ATP8B2	chr1:154337544-154340537	2088
CKS1B	chr1:154975624-154977987	84
CKS1B	chr1:154975608-154977987	84
CKS1B	chr1:154975104-154977987	84
FLAD1	chr1:154988849-154989580	1515
FLAD1	chr1:154990528-154992565	1563
ADAM15	chr1:155061193-155061415	4623
ADAM15	chr1:155054506-155055787	999
ADAM15	chr1:155053988-155054083	579
ADAM15	chr1:155054506-155055702	1062
ADAM15	chr1:155051465-155052517	243
ADAM15	chr1:155060832-155061114	4332
ADAM15	chr1:155062117-155062245	4428
EFNA4-EFNA3	chr1:155085642-155085877	435
EFNA3	chr1:155085642-155085877	450
SLC50A1	chr1:155138098-155138165	1092
SLC50A1	chr1:155138098-155138162	1095
SLC50A1	chr1:155136396-155137561	162
SLC50A1	chr1:155136396-155137979	162
MTX1	chr1:155210435-155210548	1956
MTX1	chr1:155211546-155212127	1239
FDPS	chr1:155318763-155318856	1851
FDPS	chr1:155310453-155312255	354
FDPS	chr1:155319945-155320409	2421
FDPS	chr1:155318377-155318665	1317
RUSC1	chr1:155324587-155324845	177
MSTO1	chr1:155610961-155611039	420
MSTO1	chr1:155611355-155611549	528
DAP3	chr1:155721680-155725382	549
DAP3	chr1:155731415-155731924	2169
DAP3	chr1:155726019-155726134	78
LMNA	chr1:156126949-156130617	24
LMNA	chr1:156126651-156130617	24
SEMA4A	chr1:156158486-156158702	1770
SEMA4A	chr1:156160638-156160905	1431
SEMA4A	chr1:156154985-156156414	414
SEMA4A	chr1:156158486-156158672	1179
SLC25A44	chr1:156200472-156207891	645
PMF1	chr1:156213176-156220677	18
PMF1	chr1:156225668-156232320	18
METTL25B	chr1:156729562-156731991	162
PRCC	chr1:156791162-156791253	15
NCSTN	chr1:160354290-160355863	2790
NCSTN	chr1:160350250-160351696	777
NCSTN	chr1:160353501-160354118	2079
NCSTN	chr1:160353237-160353323	2526
NCSTN	chr1:160350250-160351200	915
NCSTN	chr1:160343481-160344476	210
NCSTN	chr1:160356754-160357129	3519
NCSTN	chr1:160343888-160344722	120
NCSTN	chr1:160344614-160344722	216
SLAMF7	chr1:160739750-160748194	330
LY9	chr1:160800082-160813581	558
LY9	chr1:160796311-160799686	129
NIT1	chr1:161119388-161119493	408
NIT1	chr1:161118225-161118786	6
UFC1	chr1:161154070-161156950	99
USP21	chr1:161160975-161161122	222
USP21	chr1:161163922-161164164	2421
PPOX	chr1:161167486-161167610	840
PPOX	chr1:161169720-161170409	192
PPOX	chr1:161168127-161168445	1398
PPOX	chr1:161168127-161168413	921
PPOX	chr1:161167234-161167995	39
PPOX	chr1:161167707-161167995	651
PPOX	chr1:161167234-161167355	555
PPOX	chr1:161167234-161167339	546
NDUFS2	chr1:161213946-161214156	2808
NDUFS2	chr1:161212480-161213090	2055
NDUFS2	chr1:161202480-161203403	108
NDUFS2	chr1:161214020-161214156	2808
NDUFS2	chr1:161210710-161212403	1755
NDUFS2	chr1:161209595-161209843	945
NDUFS2	chr1:161214053-161214156	2808
NDUFS2	chr1:161212654-161213090	2313
NDUFS2	chr1:161214032-161214156	2808
NDUFS2	chr1:161212480-161213087	2013
SDHC	chr1:161323670-161326651	36
SDHC	chr1:161314874-161323614	24
FCGR2C	chr1:161581549-161588422	171
FCGR2C	chr1:161589819-161591144	171
FCGR2C	chr1:161590218-161591144	171
FCGR2C	chr1:161588442-161589562	171
FCGR2C	chr1:161588442-161589565	168
FCGR2C	chr1:161589819-161590081	171
FCGR2B	chr1:161673229-161673464	705
FCRLA	chr1:161710863-161711208	297
FCRLA	chr1:161707472-161710760	138
FCRLA	chr1:161707343-161710545	162
FCRLA	chr1:161707343-161710440	267
DUSP12	chr1:161750145-161751655	414
ATF6	chr1:161766575-161778244	198
UHMK1	chr1:162500247-162500650	948
HSD17B7	chr1:162806290-162812298	2250
HSD17B7	chr1:162796677-162797828	336
HSD17B7	chr1:162799937-162800213	66
HSD17B7	chr1:162799937-162802832	1086
HSD17B7	chr1:162790835-162792565	45
NUF2	chr1:163343870-163345682	1908
NUF2	chr1:163339477-163340368	1185
NUF2	chr1:163328304-163328458	663
NUF2	chr1:163327562-163327898	537
NUF2	chr1:163328530-163328846	600
NUF2	chr1:163327930-163328228	336
MGST3	chr1:165652035-165653697	519
UCK2	chr1:165904167-165905921	198
MPZL1	chr1:167772488-167773238	741
DCAF6	chr1:167937252-167951800	141
C1orf112	chr1:169850566-169851817	6420
C1orf112	chr1:169807929-169821400	1401
GORAB	chr1:170532403-170533464	405
GORAB	chr1:170539571-170542491	849
GORAB	chr1:170532403-170539210	435
PRRC2C	chr1:171522556-171523221	1062
METTL13	chr1:171782714-171783740	174
METTL13	chr1:171787930-171790000	1812
DARS2	chr1:173856856-173857518	2952
RABGAP1L	chr1:174252773-174272414	1305
RABGAP1L	chr1:174958173-174969277	321
TOR3A	chr1:179082387-179082719	294
TOR3A	chr1:179082335-179082940	459
TOR3A	chr1:179082387-179082785	309
TOR1AIP1	chr1:179904767-179907823	807
TOR1AIP1	chr1:179884769-179887829	87
TOR1AIP1	chr1:179904022-179904652	87
TOR1AIP1	chr1:179887959-179889313	87
TOR1AIP1	chr1:179883778-179884692	225
TOR1AIP1	chr1:179883066-179883614	150
CEP350	chr1:179990837-179992062	345
XPR1	chr1:180787854-180803393	333
CACNA1E	chr1:181776228-181778953	129
DHX9	chr1:182877047-182878021	4845
SMG7	chr1:183518682-183526596	405
SMG7	chr1:183528027-183528968	705
SMG7	chr1:183526767-183527626	690
SMG7	chr1:183472649-183512841	42
SMG7	chr1:183515991-183517626	222
TSEN15	chr1:184054863-184058161	33
TSEN15	chr1:184051890-184054361	276
TSEN15	chr1:184054435-184072157	69
TSEN15	chr1:184054863-184070616	33
TSEN15	chr1:184070732-184072157	69
TSEN15	chr1:184058240-184072157	69
TSEN15	chr1:184054863-184072051	558
RNF2	chr1:185087640-185091565	177
ODR4	chr1:186388548-186389583	1206
ODR4	chr1:186399043-186406083	3180
PLA2G4A	chr1:186956181-186965409	2376
RGS1	chr1:192576056-192576285	141
CDC73	chr1:193122561-193125112	135
CDC73	chr1:193138173-193141073	804
CDC73	chr1:193236356-193236965	2292
CDC73	chr1:193122606-193125112	135
PTPRC	chr1:198729171-198729634	99
PTPRC	chr1:198729765-198731617	1614
INAVA	chr1:200907887-200908116	1308
INAVA	chr1:200908549-200908730	1329
IPO9	chr1:201829353-201847279	315
TIMM17A	chr1:201957574-201962804	315
RNPEP	chr1:201996409-201997319	2001
RNPEP	chr1:202000072-202001376	2262
RNPEP	chr1:201989044-201996147	411
RNPEP	chr1:201983884-201988904	117
TMEM183A	chr1:203016140-203017756	894
TMEM183A	chr1:203018561-203020801	1479
TMEM183A	chr1:203016140-203018501	960
TMEM183A	chr1:203016140-203017759	924
PPFIA4	chr1:203076076-203076341	15045
BTG2	chr1:203306250-203307104	477
LAX1	chr1:203771477-203771860	321
