Gene_name	Intron_coord	Exons_before	Exons_after
PANK4	chr1:2511383-2511628	14.0	4.0
PANK4	chr1:2514466-2515258	9.0	9.0
PANK4	chr1:2521800-2525601	0.0	18.0
PANK4	chr1:2509060-2509157	17.0	1.0
PANK4	chr1:2515401-2515562	0.0	12.0
PANK4	chr1:2510748-2511338	15.0	3.0
MEGF6	chr1:3497441-3498371	29.0	7.0
MEGF6	chr1:3514668-3515402	6.0	30.0
MEGF6	chr1:3514650-3515402	6.0	30.0
MEGF6	chr1:3497411-3498371	29.0	7.0
MEGF6	chr1:3497621-3498371	29.0	7.0
WRAP73	chr1:3631657-3632023	9.0	1.0
LRRC47	chr1:3782763-3783770	3.0	3.0
CEP104	chr1:3826744-3828885	13.0	7.0
CEP104	chr1:3828971-3829133	13.0	1.0
CEP104	chr1:3836692-3837288	8.0	12.0
CEP104	chr1:3848085-3848608	2.0	18.0
CEP104	chr1:3835092-3836915	7.0	12.0
CEP104	chr1:3835092-3836789	7.0	12.0
CEP104	chr1:3848781-3851686	0.0	20.0
C1orf174	chr1:3891816-3892883	2.0	1.0
C1orf174	chr1:3891057-3892741	1.0	2.0
C1orf174	chr1:3891779-3892741	1.0	2.0
NPHP4	chr1:5877298-5879526	17.0	11.0
NPHP4	chr1:5877298-5879346	17.0	11.0
NPHP4	chr1:5865215-5866373	25.0	3.0
NPHP4	chr1:5867115-5867736	23.0	5.0
NPHP4	chr1:5904746-5905292	14.0	4.0
NPHP4	chr1:5969259-5977439	1.0	17.0
NPHP4	chr1:5905475-5905632	13.0	5.0
NPHP4	chr1:5864517-5864920	25.0	3.0
NPHP4	chr1:5888610-5890868	0.0	3.0
NPHP4	chr1:5865110-5866373	25.0	3.0
CHD5	chr1:6127164-6128046	0.0	15.0
CHD5	chr1:6129069-6130148	22.0	18.0
CHD5	chr1:6115678-6121105	0.0	23.0
CHD5	chr1:6113416-6121105	33.0	7.0
CHD5	chr1:6112998-6113311	0.0	23.0
CHD5	chr1:6126746-6127083	0.0	23.0
ACOT7	chr1:6282888-6294864	7.0	1.0
HES2	chr1:6413282-6419241	1.0	1.0
TNFRSF25	chr1:6463560-6464375	5.0	4.0
TNFRSF25	chr1:6462174-6462319	6.0	2.0
DNAJC11	chr1:6638619-6639902	11.0	4.0
DNAJC11	chr1:6644669-6645041	9.0	6.0
DNAJC11	chr1:6653387-6653911	5.0	3.0
DNAJC11	chr1:6645950-6651529	7.0	8.0
DNAJC11	chr1:6644674-6644969	8.0	7.0
DNAJC11	chr1:6654287-6667709	4.0	4.0
DNAJC11	chr1:6637504-6638083	11.0	4.0
UTS2	chr1:7853120-7853307	1.0	3.0
ERRFI1	chr1:8015400-8015495	1.0	1.0
SLC2A5	chr1:9058250-9069182	0.0	4.0
SLC2A5	chr1:9038929-9039056	7.0	4.0
GPR157	chr1:9104634-9105173	2.0	1.0
CLSTN1	chr1:9735133-9735467	13.0	5.0
CLSTN1	chr1:9733546-9734006	15.0	3.0
CLSTN1	chr1:9747012-9749461	1.0	6.0
CLSTN1	chr1:9744643-9746889	1.0	6.0
CLSTN1	chr1:9735726-9735885	12.0	6.0
LZIC	chr1:9932898-9934772	3.0	2.0
DFFA	chr1:10463209-10463531	4.0	1.0
CASZ1	chr1:10658576-10659935	3.0	14.0
C1orf127	chr1:10957107-10957585	0.0	6.0
C1orf127	chr1:10957107-10957623	7.0	4.0
C1orf127	chr1:10964271-10965580	3.0	8.0
SRM	chr1:11059380-11059777	1.0	6.0
EXOSC10	chr1:11080514-11080764	12.0	11.0
EXOSC10	chr1:11091597-11095416	2.0	21.0
EXOSC10	chr1:11076948-11077330	16.0	7.0
EXOSC10	chr1:11081238-11082534	9.0	14.0
MTOR	chr1:11129887-11130529	0.0	18.0
MTOR	chr1:11213566-11216144	19.0	37.0
MTOR	chr1:11144848-11144968	30.0	24.0
MTOR	chr1:11117086-11121095	0.0	8.0
MTOR	chr1:11127806-11128042	0.0	14.0
MAD2L2	chr1:11677614-11680372	2.0	5.0
MAD2L2	chr1:11676109-11676848	4.0	3.0
MTHFR	chr1:11791745-11792278	9.0	1.0
MTHFR	chr1:11801416-11802881	1.0	9.0
MTHFR	chr1:11800322-11801105	2.0	8.0
MTHFR	chr1:11791326-11791637	8.0	2.0
MTHFR	chr1:11794477-11794729	6.0	4.0
CASP9	chr1:15507907-15518250	2.0	6.0
CASP9	chr1:15507133-15507873	3.0	5.0
ZBTB17	chr1:15947347-15948291	1.0	12.0
ZBTB17	chr1:15942901-15943064	1.0	2.0
ARHGEF19	chr1:16205248-16205351	9.0	5.0
ARHGEF19	chr1:16202540-16204759	11.0	3.0
ARHGEF19	chr1:16205567-16205931	8.0	6.0
CPLANE2	chr1:16232297-16232550	1.0	2.0
FBXO42	chr1:16253181-16253635	6.0	2.0
FBXO42	chr1:16253152-16253556	5.0	3.0
SPATA21	chr1:16399521-16400482	2.0	2.0
SPATA21	chr1:16405104-16408498	4.0	6.0
NBPF1	chr1:16569311-16573142	16.0	6.0
ATP13A2	chr1:17005067-17005374	3.0	25.0
ATP13A2	chr1:16990350-16991734	20.0	8.0
SDHB	chr1:17022730-17023094	5.0	2.0
PADI2	chr1:17074949-17075124	11.0	4.0
PADI2	chr1:17074949-17075525	11.0	4.0
ALDH4A1	chr1:18882672-18883124	7.0	7.0
ALDH4A1	chr1:18882675-18883124	7.0	7.0
ALDH4A1	chr1:18883428-18884691	4.0	10.0
ALDH4A1	chr1:18875254-18875382	13.0	1.0
ALDH4A1	chr1:18874581-18875073	12.0	2.0
UBR4	chr1:19145678-19145793	53.0	13.0
UBR4	chr1:19165776-19167022	29.0	76.0
UBR4	chr1:19099677-19100078	88.0	17.0
UBR4	chr1:19076902-19077785	1.0	2.0
UBR4	chr1:19126655-19127628	63.0	4.0
UBR4	chr1:19104886-19105048	85.0	20.0
UBR4	chr1:19122657-19122833	66.0	1.0
UBR4	chr1:19177592-19179051	18.0	87.0
UBR4	chr1:19164436-19164799	32.0	73.0
UBR4	chr1:19184075-19185099	15.0	90.0
UBR4	chr1:19151804-19152313	47.0	58.0
UBR4	chr1:19160250-19160917	38.0	67.0
UBR4	chr1:19153899-19154918	44.0	61.0
UBR4	chr1:19104666-19104753	85.0	20.0
UBR4	chr1:19122012-19122588	65.0	2.0
UBR4	chr1:19176744-19177461	19.0	86.0
UBR4	chr1:19163823-19164253	33.0	72.0
EMC1	chr1:19220810-19222624	21.0	1.0
EMC1	chr1:19244015-19244739	1.0	21.0
EMC1	chr1:19234308-19235130	13.0	10.0
EMC1	chr1:19242473-19243418	3.0	19.0
EMC1	chr1:19239302-19239695	7.0	15.0
EMC1	chr1:19219669-19220764	21.0	1.0
AKR7L	chr1:19270555-19270748	1.0	3.0
AKR7L	chr1:19269371-19270451	1.0	3.0
AKR7L	chr1:19269679-19270451	1.0	3.0
AKR7L	chr1:19268701-19270451	1.0	3.0
AKR7L	chr1:19270935-19273861	1.0	3.0
AKR7A2	chr1:19307101-19308158	1.0	3.0
MUL1	chr1:20503309-20507524	0.0	3.0
SH2D5	chr1:20724251-20724349	5.0	3.0
HP1BP3	chr1:20749975-20757166	8.0	3.0
EIF4G3	chr1:21001307-21002713	4.0	28.0
EIF4G3	chr1:21001324-21002713	1.0	4.0
EIF4G3	chr1:20895501-20899800	14.0	18.0
EIF4G3	chr1:20865262-20879282	16.0	16.0
EIF4G3	chr1:21176377-21176722	2.0	31.0
EIF4G3	chr1:20847943-20849415	1.0	1.0
ECE1	chr1:21290156-21344937	0.0	18.0
ECE1	chr1:21256138-21256688	6.0	12.0
ECE1	chr1:21279332-21289181	1.0	17.0
RAP1GAP	chr1:21649796-21651392	0.0	23.0
RAP1GAP	chr1:21598449-21599494	19.0	2.0
RAP1GAP	chr1:21606197-21607540	13.0	7.0
USP48	chr1:21704387-21705727	19.0	7.0
USP48	chr1:21756963-21757663	2.0	24.0
USP48	chr1:21729832-21736430	9.0	17.0
USP48	chr1:21756702-21756829	1.0	25.0
HNRNPR	chr1:23306503-23310828	0.0	3.0
HNRNPR	chr1:23306503-23310783	0.0	3.0
HNRNPR	chr1:23306503-23310862	0.0	3.0
E2F2	chr1:23521069-23521837	3.0	3.0
E2F2	chr1:23521071-23521839	3.0	3.0
GALE	chr1:23798225-23798615	2.0	7.0
GALE	chr1:23798484-23798615	2.0	7.0
GALE	chr1:23797107-23797695	5.0	4.0
GALE	chr1:23798230-23798311	1.0	8.0
FUCA1	chr1:23865971-23867898	1.0	6.0
FUCA1	chr1:23865625-23867724	0.0	7.0
STPG1	chr1:24382592-24383902	0.0	2.0
STPG1	chr1:24358619-24360324	6.0	1.0
STPG1	chr1:24392067-24401319	1.0	6.0
STPG1	chr1:24379823-24383867	2.0	5.0
STPG1	chr1:24370480-24373702	5.0	2.0
RSRP1	chr1:25243633-25244454	1.0	2.0
RSRP1	chr1:25243633-25244177	0.0	3.0
RSRP1	chr1:25244498-25245150	0.0	1.0
RSRP1	chr1:25244224-25244454	1.0	1.0
RSRP1	chr1:25244224-25245150	2.0	1.0
RSRP1	chr1:25245301-25245991	0.0	2.0
PAFAH2	chr1:25988327-25989452	2.0	7.0
UBXN11	chr1:26283015-26284142	11.0	2.0
UBXN11	chr1:26284211-26284362	10.0	3.0
UBXN11	chr1:26297024-26297427	6.0	7.0
UBXN11	chr1:26284482-26284750	8.0	5.0
GPN2	chr1:26886133-26888897	1.0	3.0
GPN2	chr1:26884315-26885973	3.0	1.0
GPATCH3	chr1:26892791-26893351	0.0	2.0
GPATCH3	chr1:26894410-26897090	1.0	5.0
GPATCH3	chr1:26892791-26893298	0.0	2.0
GPATCH3	chr1:26897725-26900122	1.0	5.0
SLC9A1	chr1:27102721-27103223	7.0	4.0
SLC9A1	chr1:27109777-27113791	2.0	9.0
SLC9A1	chr1:27114446-27153983	1.0	10.0
MAP3K6	chr1:27359559-27359858	17.0	11.0
WASF2	chr1:27419726-27428761	1.0	6.0
FGR	chr1:27614922-27615434	7.0	3.0
TAF12	chr1:28622165-28623942	1.0	4.0
SRSF4	chr1:29166866-29168503	2.0	1.0
SRSF4	chr1:29160058-29160375	2.0	3.0
SRSF4	chr1:29160091-29160375	2.0	3.0
SRSF4	chr1:29159486-29159864	1.0	4.0
PUM1	chr1:30966278-30967099	11.0	9.0
PUM1	chr1:30941272-30941922	18.0	2.0
PUM1	chr1:31028864-31059299	1.0	19.0
PUM1	chr1:30941272-30941626	17.0	3.0
PUM1	chr1:31055380-31059204	1.0	19.0
PUM1	chr1:30966197-30967099	11.0	9.0
PUM1	chr1:30967310-30968297	9.0	11.0
PUM1	chr1:30953818-30964674	13.0	7.0
PUM1	chr1:30941667-30941998	18.0	2.0
SNRNP40	chr1:31260121-31260955	8.0	1.0
FABP3	chr1:31367494-31369070	1.0	2.0
PEF1	chr1:31635522-31644190	0.0	4.0
PEF1	chr1:31635522-31644262	0.0	4.0
PEF1	chr1:31635522-31644123	0.0	4.0
PEF1	chr1:31633314-31634834	1.0	3.0
PEF1	chr1:31635522-31644380	0.0	4.0
COL16A1	chr1:31668855-31669811	47.0	22.0
COL16A1	chr1:31668855-31670556	47.0	22.0
COL16A1	chr1:31655502-31656098	64.0	5.0
COL16A1	chr1:31689085-31689461	21.0	48.0
COL16A1	chr1:31689085-31689332	21.0	48.0
COL16A1	chr1:31665234-31665504	58.0	11.0
COL16A1	chr1:31685133-31685639	28.0	41.0
ADGRB2	chr1:31743002-31743459	3.0	27.0
TMEM234	chr1:32221197-32221797	3.0	2.0
TMEM234	chr1:32222013-32222307	1.0	4.0
TMEM234	chr1:32217577-32221131	3.0	2.0
BSDC1	chr1:32383906-32386779	3.0	7.0
BSDC1	chr1:32383939-32386779	3.0	7.0
BSDC1	chr1:32369338-32376262	9.0	1.0
ZBTB8OS	chr1:32627544-32633951	1.0	2.0
ZBTB8OS	chr1:32634110-32634768	2.0	4.0
ZBTB8OS	chr1:32634072-32650433	1.0	4.0
ZBTB8OS	chr1:32627544-32633262	3.0	2.0
ZBTB8OS	chr1:32633354-32633645	0.0	2.0
ZBTB8OS	chr1:32627865-32631827	4.0	1.0
ZBTB8OS	chr1:32634110-32634702	1.0	4.0
ZBTB8OS	chr1:32632345-32633645	3.0	2.0
ZBTB8OS	chr1:32634792-32650402	0.0	2.0
YARS1	chr1:32791254-32797592	4.0	8.0
TRIM62	chr1:33159973-33165471	2.0	2.0
PHC2	chr1:33332404-33334185	9.0	4.0
PHC2	chr1:33331699-33332275	10.0	3.0
PHC2	chr1:33331462-33331625	9.0	4.0
ZMYM6	chr1:35010597-35010951	8.0	6.0
SFPQ	chr1:35178036-35187001	0.0	3.0
KIAA0319L	chr1:35443335-35444161	16.0	3.0
KIAA0319L	chr1:35476595-35478966	0.0	5.0
KIAA0319L	chr1:35453689-35454237	9.0	10.0
KIAA0319L	chr1:35450509-35451524	11.0	8.0
KIAA0319L	chr1:35442772-35442906	17.0	2.0
KIAA0319L	chr1:35441322-35442246	18.0	1.0
KIAA0319L	chr1:35464928-35466608	0.0	5.0
KIAA0319L	chr1:35460433-35462621	7.0	12.0
CLSPN	chr1:35737421-35737698	21.0	3.0
CLSPN	chr1:35720980-35736247	23.0	1.0
CLSPN	chr1:35720980-35736485	23.0	1.0
CLSPN	chr1:35737417-35737992	23.0	1.0
OSCP1	chr1:36422970-36423363	5.0	4.0
OSCP1	chr1:36431860-36432422	3.0	6.0
MRPS15	chr1:36463850-36464219	3.0	4.0
MEAF6	chr1:37513538-37514517	0.0	6.0
GNL2	chr1:37582936-37583694	5.0	10.0
C1orf109	chr1:37683476-37686273	2.0	1.0
C1orf109	chr1:37686452-37689491	0.0	3.0
C1orf109	chr1:37686452-37689658	1.0	2.0
MTF1	chr1:37840158-37857576	1.0	8.0
MTF1	chr1:37818098-37822121	8.0	1.0
INPP5B	chr1:37889724-37890616	6.0	16.0
INPP5B	chr1:37878492-37880085	14.0	8.0
INPP5B	chr1:37889720-37891358	7.0	15.0
INPP5B	chr1:37885825-37886573	10.0	12.0
INPP5B	chr1:37865923-37866459	20.0	2.0
INPP5B	chr1:37889668-37891358	9.0	13.0
INPP5B	chr1:37891454-37931909	6.0	16.0
RRAGC	chr1:38855907-38856705	1.0	5.0
MYCBP	chr1:38867610-38872573	1.0	3.0
ENSG00000274944	chr1:38867610-38873059	2.0	2.0
PABPC4	chr1:39562416-39563527	10.0	3.0
PABPC4	chr1:39570002-39571097	2.0	12.0
NT5C1A	chr1:39666236-39671887	1.0	4.0
BMP8B	chr1:39774425-39774849	2.0	4.0
BMP8B	chr1:39765008-39774308	3.0	3.0
TRIT1	chr1:39857417-39876062	0.0	2.0
TRIT1	chr1:39865667-39883318	0.0	3.0
TRIT1	chr1:39852951-39853970	3.0	7.0
TRIT1	chr1:39848097-39850123	5.0	5.0
TRIT1	chr1:39850261-39853970	0.0	3.0
TRIT1	chr1:39876132-39883318	0.0	3.0
TRIT1	chr1:39847747-39847986	6.0	4.0
TRIT1	chr1:39857417-39864710	0.0	2.0
PPT1	chr1:40089582-40091329	4.0	4.0
PPT1	chr1:40092500-40097115	1.0	7.0
PPT1	chr1:40092507-40097111	1.0	7.0
PPT1	chr1:40092507-40096809	0.0	8.0
PPT1	chr1:40091399-40091914	2.0	6.0
COL9A2	chr1:40314387-40315238	1.0	30.0
COL9A2	chr1:40306401-40307446	19.0	12.0
COL9A2	chr1:40304847-40304926	20.0	11.0
COL9A2	chr1:40310317-40310507	12.0	19.0
COL9A2	chr1:40314387-40315127	1.0	30.0
SCMH1	chr1:41117010-41142874	6.0	8.0
SCMH1	chr1:41034102-41037362	10.0	2.0
SCMH1	chr1:41113553-41116922	6.0	8.0
SCMH1	chr1:41037541-41046418	9.0	3.0
SCMH1	chr1:41034119-41037362	10.0	2.0
SCMH1	chr1:41037541-41045713	8.0	4.0
EDN2	chr1:41482588-41483750	1.0	3.0
EDN2	chr1:41479502-41480701	3.0	1.0
EDN2	chr1:41484112-41484538	1.0	3.0
EDN2	chr1:41483078-41484047	2.0	2.0
FOXJ3	chr1:42278784-42311050	1.0	10.0
P3H1	chr1:42750336-42751641	9.0	5.0
P3H1	chr1:42759393-42762323	2.0	12.0
P3H1	chr1:42756455-42757783	5.0	9.0
P3H1	chr1:42756452-42757783	5.0	9.0
P3H1	chr1:42757945-42758852	4.0	10.0
P3H1	chr1:42757857-42758852	4.0	10.0
P3H1	chr1:42751834-42752274	2.0	4.0
P3H1	chr1:42747408-42747723	13.0	1.0
P3H1	chr1:42751740-42752274	2.0	4.0
P3H1	chr1:42747540-42747723	13.0	1.0
P3H1	chr1:42748315-42750186	11.0	3.0
SLC2A1	chr1:42929780-42930626	1.0	2.0
ELOVL1	chr1:43365097-43365186	2.0	4.0
ELOVL1	chr1:43364460-43364615	5.0	1.0
MED8	chr1:43387607-43388310	2.0	4.0
MED8	chr1:43386966-43387503	3.0	3.0
HYI	chr1:43452031-43452205	3.0	4.0
HYI	chr1:43452046-43452205	3.0	4.0
SLC6A9	chr1:44001051-44001164	9.0	3.0
SLC6A9	chr1:44002646-44002902	5.0	7.0
SLC6A9	chr1:43998225-44000767	11.0	1.0
TMEM53	chr1:44660295-44673767	0.0	2.0
BEST4	chr1:44784985-44785163	6.0	2.0
PTCH2	chr1:44828362-44828506	13.0	9.0
HECTD3	chr1:45010706-45010863	2.0	18.0
MUTYH	chr1:45334511-45340223	1.0	14.0
MUTYH	chr1:45334511-45340203	1.0	14.0
MUTYH	chr1:45330068-45330516	0.0	5.0
MUTYH	chr1:45333617-45334391	1.0	13.0
MUTYH	chr1:45331872-45332023	11.0	3.0
MUTYH	chr1:45333497-45334391	1.0	13.0
MUTYH	chr1:45333324-45334391	1.0	4.0
MUTYH	chr1:45334511-45339662	0.0	15.0
MUTYH	chr1:45329437-45329889	13.0	1.0
CCDC163	chr1:45497383-45498443	1.0	3.0
CCDC17	chr1:45623117-45623557	0.0	1.0
CCDC17	chr1:45621484-45621558	8.0	4.0
CCDC17	chr1:45620433-45620528	11.0	1.0
IPP	chr1:45714354-45716895	6.0	2.0
PIK3R3	chr1:46066964-46077515	3.0	6.0
P3R3URF-PIK3R3	chr1:46066964-46077515	3.0	6.0
POMGNT1	chr1:46190517-46190745	17.0	3.0
POMGNT1	chr1:46188980-46189180	19.0	1.0
POMGNT1	chr1:46193442-46193564	10.0	10.0
POMGNT1	chr1:46190517-46192098	16.0	3.0
POMGNT1	chr1:46193639-46193777	8.0	12.0
POMGNT1	chr1:46197080-46197702	1.0	19.0
POMGNT1	chr1:46193616-46193855	9.0	11.0
POMGNT1	chr1:46190621-46190720	17.0	3.0
MKNK1	chr1:46565136-46568238	6.0	5.0
MKNK1	chr1:46561673-46562649	9.0	2.0
MKNK1	chr1:46565136-46568317	6.0	5.0
MKNK1	chr1:46580627-46582814	0.0	1.0
ATPAF1	chr1:46663923-46665256	1.0	1.0
EFCAB14	chr1:46685144-46686784	8.0	2.0
EFCAB14	chr1:46708051-46716291	2.0	8.0
STIL	chr1:47281701-47282345	0.0	9.0
STIL	chr1:47281209-47281616	9.0	6.0
STIL	chr1:47299968-47301561	4.0	11.0
BEND5	chr1:48759366-48761337	2.0	3.0
FAF1	chr1:50857997-50959672	0.0	18.0
TTC39A	chr1:51305146-51305527	6.0	11.0
TTC39A	chr1:51305146-51305241	6.0	11.0
EPS15	chr1:51472948-51474404	0.0	4.0
EPS15	chr1:51474525-51481273	0.0	4.0
NRDC	chr1:51834057-51836131	5.0	27.0
NRDC	chr1:51836438-51837456	2.0	30.0
NRDC	chr1:51836438-51840226	2.0	28.0
CC2D1B	chr1:52356442-52356755	14.0	8.0
CC2D1B	chr1:52356442-52356761	14.0	8.0
CC2D1B	chr1:52354454-52354608	0.0	18.0
CC2D1B	chr1:52353223-52353342	0.0	18.0
CC2D1B	chr1:52361132-52361478	3.0	19.0
CC2D1B	chr1:52357174-52357526	14.0	8.0
CC2D1B	chr1:52353647-52354633	0.0	18.0
CC2D1B	chr1:52353647-52354321	21.0	1.0
CC2D1B	chr1:52359836-52360074	7.0	15.0
CC2D1B	chr1:52357146-52357526	14.0	8.0
CC2D1B	chr1:52353647-52354365	0.0	18.0
ORC1	chr1:52389321-52393013	4.0	11.0
ORC1	chr1:52385949-52387947	6.0	9.0
ORC1	chr1:52389321-52393386	4.0	11.0
ORC1	chr1:52385949-52388236	6.0	9.0
ORC1	chr1:52389321-52393390	4.0	11.0
ORC1	chr1:52401487-52402129	1.0	14.0
TUT4	chr1:52408460-52409486	0.0	2.0
TUT4	chr1:52445572-52445787	0.0	7.0
TUT4	chr1:52439560-52445787	0.0	7.0
COA7	chr1:52692867-52698166	1.0	1.0
COA7	chr1:52692867-52697909	0.0	2.0
ECHDC2	chr1:52905436-52906519	5.0	4.0
ECHDC2	chr1:52911790-52921483	1.0	8.0
ECHDC2	chr1:52897484-52898580	7.0	2.0
ECHDC2	chr1:52906611-52907014	3.0	6.0
LRP8	chr1:53292292-53326873	0.0	16.0
LRP8	chr1:53248591-53249380	0.0	4.0
LRP8	chr1:53289689-53312969	0.0	16.0
LRP8	chr1:53249860-53250690	0.0	1.0
LRP8	chr1:53257464-53258009	14.0	4.0
LRP8	chr1:53289689-53313573	0.0	16.0
LRP8	chr1:53247056-53248463	0.0	10.0
LRP8	chr1:53262207-53264169	0.0	2.0
LRP8	chr1:53254957-53255117	0.0	4.0
LRP8	chr1:53250862-53254911	15.0	3.0
LRP8	chr1:53258074-53258319	14.0	4.0
LRP8	chr1:53249573-53250690	0.0	4.0
LRP8	chr1:53313743-53326873	0.0	16.0
LRP8	chr1:53326992-53327258	0.0	17.0
LRP8	chr1:53248591-53250690	0.0	10.0
LRP8	chr1:53266699-53271028	8.0	10.0
YIPF1	chr1:53878722-53882943	1.0	6.0
HSPB11	chr1:53928435-53930039	2.0	2.0
CYB5RL	chr1:54187882-54190748	2.0	2.0
CYB5RL	chr1:54187739-54190738	2.0	2.0
SSBP3	chr1:54404930-54405130	0.0	16.0
USP24	chr1:55073460-55073828	64.0	3.0
USP24	chr1:55104020-55106115	41.0	26.0
USP24	chr1:55095424-55096498	50.0	17.0
USP24	chr1:55137704-55137806	27.0	40.0
USP24	chr1:55178132-55214606	1.0	66.0
USP24	chr1:55084421-55085942	56.0	11.0
USP24	chr1:55141727-55142742	23.0	44.0
USP24	chr1:55095335-55096498	52.0	15.0
USP24	chr1:55159034-55159611	9.0	58.0
USP24	chr1:55104020-55105400	40.0	27.0
USP24	chr1:55147796-55148463	17.0	50.0
USP24	chr1:55148570-55153839	16.0	51.0
USP24	chr1:55072861-55073354	63.0	4.0
USP24	chr1:55124804-55125320	34.0	33.0
USP24	chr1:55144142-55145998	21.0	46.0
USP24	chr1:55073436-55073828	64.0	3.0
OMA1	chr1:58536741-58539036	1.0	1.0
OMA1	chr1:58527335-58530130	1.0	6.0
OMA1	chr1:58506209-58519505	1.0	6.0
OMA1	chr1:58530320-58530601	1.0	6.0
OMA1	chr1:58522912-58527261	1.0	6.0
OMA1	chr1:58506209-58522827	1.0	6.0
OMA1	chr1:58519570-58527261	1.0	6.0
MYSM1	chr1:58689116-58689276	4.0	15.0
MYSM1	chr1:58695207-58699623	0.0	19.0
MYSM1	chr1:58689116-58689294	4.0	15.0
MYSM1	chr1:58689367-58690226	5.0	14.0
MYSM1	chr1:58667921-58668430	13.0	6.0
MYSM1	chr1:58685251-58690226	3.0	1.0
MYSM1	chr1:58675575-58676926	9.0	10.0
CYP2J2	chr1:59916100-59926521	1.0	7.0
CYP2J2	chr1:59901103-59904366	6.0	2.0
TM2D1	chr1:61724425-61724902	0.0	1.0
TM2D1	chr1:61723772-61724288	0.0	1.0
TM2D1	chr1:61724425-61724920	0.0	1.0
TM2D1	chr1:61723772-61724920	0.0	1.0
TM2D1	chr1:61723772-61724902	0.0	1.0
DOCK7	chr1:62644114-62647691	0.0	10.0
DOCK7	chr1:62648185-62648415	5.0	43.0
DOCK7	chr1:62487452-62488934	43.0	6.0
DOCK7	chr1:62619989-62625259	12.0	36.0
DOCK7	chr1:62638379-62647691	0.0	10.0
DOCK7	chr1:62578966-62586507	1.0	1.0
DOCK7	chr1:62542703-62543597	23.0	26.0
DOCK7	chr1:62633935-62634773	9.0	39.0
DOCK7	chr1:62489065-62492781	41.0	8.0
DOCK7	chr1:62633578-62633900	0.0	10.0
DOCK7	chr1:62636603-62638243	0.0	10.0
DOCK7	chr1:62620307-62625259	12.0	36.0
DOCK7	chr1:62495904-62496339	38.0	11.0
DOCK7	chr1:62631418-62633498	10.0	38.0
DOCK7	chr1:62476156-62477007	42.0	6.0
JAK1	chr1:64879148-64882892	1.0	22.0
JAK1	chr1:64857774-64860105	8.0	15.0
SLC35D1	chr1:67050504-67051989	3.0	8.0
SLC35D1	chr1:67050504-67051984	3.0	8.0
SLC35D1	chr1:67052882-67052956	2.0	9.0
SERBP1	chr1:67426285-67429436	0.0	7.0
WLS	chr1:68228255-68232194	0.0	4.0
WLS	chr1:68194227-68231703	0.0	11.0
DEPDC1	chr1:68481612-68482641	8.0	3.0
DEPDC1	chr1:68482930-68483950	7.0	4.0
DEPDC1	chr1:68486415-68486937	0.0	9.0
DEPDC1	chr1:68481530-68482046	8.0	3.0
DEPDC1	chr1:68479320-68481047	8.0	3.0
ANKRD13C	chr1:70276844-70291682	8.0	4.0
ZRANB2	chr1:71066934-71069267	7.0	2.0
ERICH3	chr1:74636434-74641331	5.0	8.0
