Gene_name	Intron_coord	ejc_distance
KHDC4	chr1:155916709-155917499	84
SSR2	chr1:156012565-156014961	717
GLMP	chr1:156293209-156293618	336
GLMP	chr1:156293209-156293990	-1
MRPL24	chr1:156737534-156737731	-1
ARHGEF11	chr1:156936928-156937249	90
FCRL3	chr1:157676768-157678595	114
IGSF8	chr1:160092695-160093210	384
CD84	chr1:160550846-160550938	849
CD244	chr1:160832719-160834051	171
DEDD	chr1:161123174-161123839	180
NME7	chr1:169132817-169169433	3
SLC19A2	chr1:169465924-169468111	-1
SCYL3	chr1:169855932-169859041	657
MRPS14	chr1:175018576-175023272	111
TOR1AIP2	chr1:179848388-179850845	783
TOR1AIP2	chr1:179848348-179850845	801
GLUL	chr1:182385887-182386362	99
TRMT1L	chr1:185120271-185120359	18
KIF21B	chr1:200973578-200974787	-1
TMEM9	chr1:201143951-201146771	69
TMEM9	chr1:201136067-201143820	-1
CHIT1	chr1:203217133-203217302	429
CHIT1	chr1:203217372-203217739	-1
NUAK2	chr1:205305614-205306188	336
SLC45A3	chr1:205662648-205662833	759
SLC41A1	chr1:205792316-205794870	-1
EIF2D	chr1:206594407-206595718	768
PIGR	chr1:206930413-206930915	459
LPGAT1	chr1:211750050-211750743	207
LPGAT1	chr1:211750878-211750961	-1
BATF3	chr1:212697078-212699673	96
TMEM63A	chr1:225847213-225848210	225
JMJD4	chr1:227733027-227733304	-1
C1orf35	chr1:228101914-228102080	537
CCSAP	chr1:229327558-229342099	798
TTC13	chr1:230907019-230907850	858
OPN3	chr1:241597997-241604420	213
ZNF695	chr1:246967792-246988121	90
SH3BP5L	chr1:248812370-248813132	-1
SH3BP5L	chr1:248813600-248814449	591
SH3BP5L	chr1:248813245-248814449	189
KLHL17	chr1:964167-964349	177
DFFB	chr1:3872572-3883512	-1
DFFB	chr1:3873137-3883507	561
H6PD	chr1:9247083-9262027	210
PIK3CD	chr1:9724405-9724804	54
TNFRSF1B	chr1:12194025-12194584	144
DNAJC16	chr1:15566180-15567103	138
DDI2	chr1:15651895-15656421	-1
SLC25A34	chr1:15739097-15739224	222
SLC66A1	chr1:19328053-19328572	426
LDLRAD2	chr1:21821611-21821724	-1
LDLRAD2	chr1:21821902-21822202	234
LDLRAD2	chr1:21821921-21822202	252
KDM1A	chr1:23081573-23082293	45
PITHD1	chr1:23786423-23787258	-1
MACO1	chr1:25489293-25491346	225
MACO1	chr1:25489293-25491462	75
SH3BGRL3	chr1:26280932-26281029	-1
CD52	chr1:26318640-26320171	462
ARID1A	chr1:26775956-26779023	195
PIGV	chr1:26794206-26794803	378
TMEM222	chr1:27334754-27335379	468
TMEM222	chr1:27334281-27334667	-1
RBBP4	chr1:32679817-32680526	3
ZSCAN20	chr1:33491323-33493187	168
ZSCAN20	chr1:33489191-33491025	525
TFAP2E	chr1:35590775-35594398	-1
TFAP2E	chr1:35588472-35589930	99
ZC3H12A	chr1:37481835-37482350	156
PPIE	chr1:39753052-39762318	-1
PPIE	chr1:39753052-39763651	-1
PPCS	chr1:42457567-42459603	186
SZT2	chr1:43448728-43450143	6
DMAP1	chr1:44220443-44220559	6
RPS8	chr1:44777737-44778000	129
TOE1	chr1:45342643-45342735	249
TOE1	chr1:45342643-45342739	78
AKR1A1	chr1:45569006-45569143	78
UQCRH	chr1:46309143-46310155	81
GPX7	chr1:52606945-52607534	-1
EFCAB7	chr1:63568519-63571025	90
PGM1	chr1:63654466-63654994	15
GADD45A	chr1:67686126-67686441	0
IFI44L	chr1:78641121-78641505	84
IFI44	chr1:78660691-78662704	132
RWDD3	chr1:95244651-95246542	39
RWDD3	chr1:95244708-95246542	39
RWDD3	chr1:95244324-95246542	39
TRMT13	chr1:100144143-100148172	144
TRMT13	chr1:100144143-100148093	186
CDC14A	chr1:100498199-100498929	273
PRPF38B	chr1:108696337-108697947	867
PRPF38B	chr1:108696351-108698604	216
STXBP3	chr1:108807719-108808783	12
ELAPOR1	chr1:109200900-109202913	-1
ELAPOR1	chr1:109201417-109202944	375
ATXN7L2	chr1:109491862-109492027	117
ATXN7L2	chr1:109491717-109491807	-1
GSTM4	chr1:109659959-109661165	684
GSTM2	chr1:109671382-109671448	81
SLC22A15	chr1:116027216-116031403	189
SLC22A15	chr1:116064512-116066520	96
TTF2	chr1:117097433-117098206	699
FAM72D	chr1:145099065-145103073	57
POLR3C	chr1:145840165-145840974	60
NUDT17	chr1:145847719-145848095	138
PDE4DIP	chr1:149031224-149031944	678
VPS45	chr1:150143066-150144709	105
PLEKHO1	chr1:150157015-150157372	90
C1orf54	chr1:150275799-150276527	96
PRPF3	chr1:150346501-150349157	57
TARS2	chr1:150505705-150506826	-1
TARS2	chr1:150504435-150504636	54
SETDB1	chr1:150963741-150964000	36
GABPB2	chr1:151107222-151117415	78
GABPB2	chr1:151117516-151117961	-1
SCNM1	chr1:151167414-151168194	114
SCNM1	chr1:151167414-151168149	114
ZNF687	chr1:151282410-151286275	294
CREB3L4	chr1:153973716-153973901	-1
FLAD1	chr1:154990528-154992565	228
SLC50A1	chr1:155138098-155138165	-1
SLC50A1	chr1:155138098-155138162	-1
HCN3	chr1:155285964-155287249	48
HCN3	chr1:155285852-155287173	150
TMEM79	chr1:156285267-156285525	939
CD1D	chr1:158183156-158183931	72
NCSTN	chr1:160356754-160357129	93
LY9	chr1:160824249-160826935	-1
PPOX	chr1:161170949-161176849	144
NDUFS2	chr1:161213946-161214156	3
NDUFS2	chr1:161214020-161214156	78
NDUFS2	chr1:161214053-161214156	111
NDUFS2	chr1:161214032-161214156	90
TOMM40L	chr1:161228807-161228956	-1
DUSP12	chr1:161753261-161756038	-1
DUSP12	chr1:161753261-161756041	-1
DUSP12	chr1:161752464-161753179	48
UHMK1	chr1:162518190-162521647	-1
HSD17B7	chr1:162806290-162812298	771
MGST3	chr1:165652035-165653697	561
POU2F1	chr1:167413971-167415500	849
XCL1	chr1:168580207-168581052	24
C1orf112	chr1:169851874-169852790	-1
DARS2	chr1:173856856-173857518	90
FAM20B	chr1:179066914-179071913	51
CACNA1E	chr1:181776228-181778953	585
LAMC2	chr1:183240198-183240302	-1
TMEM183A	chr1:203016140-203018501	147
LAX1	chr1:203772147-203773788	-1
LAX1	chr1:203771477-203772072	-1
LAX1	chr1:203771477-203771860	228
RHEX	chr1:206101337-206101752	78
RASSF5	chr1:206584684-206585061	24
MAPKAPK2	chr1:206732084-206732575	144
TRAF3IP3	chr1:209780606-209781350	75
TATDN3	chr1:212813029-212815013	669
VASH2	chr1:212966345-212966436	-1
VASH2	chr1:212972961-212973424	627
VASH2	chr1:212966345-212966510	-1
SMYD2	chr1:214334836-214336704	516
MTARC2	chr1:220780062-220780168	-1
CAPN2	chr1:223772239-223774277	-1
CNIH4	chr1:224365991-224371330	0
SNAP47	chr1:227767083-227770417	-1
OBSCN	chr1:228356344-228359597	147
RNF187	chr1:228489056-228493053	-1
NTPCR	chr1:232970118-232976302	-1
NTPCR	chr1:232956447-232969909	162
LGALS8	chr1:236545293-236548012	342
DESI2	chr1:244689342-244691881	99
DESI2	chr1:244689342-244691884	99
DESI2	chr1:244686669-244691879	123
COX20	chr1:244842058-244842199	30
SCCPDH	chr1:246764344-246766058	54
PGBD2	chr1:248914559-248916602	675
