Gene_name	Intron_coord	distance_from_start
PADI2	chr1:17074949-17075124	1464
PADI2	chr1:17074949-17075525	1464
ALDH4A1	chr1:18882672-18883124	768
ALDH4A1	chr1:18882675-18883124	771
ALDH4A1	chr1:18883428-18884691	600
ALDH4A1	chr1:18875254-18875382	1641
ALDH4A1	chr1:18874581-18875073	1464
UBR4	chr1:19145678-19145793	7965
UBR4	chr1:19165776-19167022	4140
UBR4	chr1:19099677-19100078	13275
UBR4	chr1:19076902-19077785	594
UBR4	chr1:19126655-19127628	9339
UBR4	chr1:19104886-19105048	12651
UBR4	chr1:19122657-19122833	9885
UBR4	chr1:19177592-19179051	2370
UBR4	chr1:19164436-19164799	4584
UBR4	chr1:19184075-19185099	1959
UBR4	chr1:19151804-19152313	7029
UBR4	chr1:19160250-19160917	5532
UBR4	chr1:19153899-19154918	6471
UBR4	chr1:19104666-19104753	13011
UBR4	chr1:19122012-19122588	9948
UBR4	chr1:19176744-19177461	2673
UBR4	chr1:19163823-19164253	4701
EMC1	chr1:19220810-19222624	2700
EMC1	chr1:19244015-19244739	228
EMC1	chr1:19234308-19235130	1503
EMC1	chr1:19244015-19251415	48
EMC1	chr1:19242473-19243418	384
EMC1	chr1:19239302-19239695	981
EMC1	chr1:19219669-19220764	2709
AKR7L	chr1:19270555-19270748	84
AKR7L	chr1:19269371-19270451	84
AKR7L	chr1:19269679-19270451	84
AKR7L	chr1:19268701-19270451	84
AKR7L	chr1:19270935-19273861	84
AKR7A2	chr1:19307101-19308158	84
MUL1	chr1:20503309-20507524	186
SH2D5	chr1:20724251-20724349	780
HP1BP3	chr1:20779911-20780350	105
EIF4G3	chr1:21001307-21002713	225
EIF4G3	chr1:21001324-21002713	39
EIF4G3	chr1:20895501-20899800	1149
EIF4G3	chr1:20865262-20879282	1659
EIF4G3	chr1:21176377-21176722	327
EIF4G3	chr1:20847943-20849415	45
ECE1	chr1:21290156-21344937	441
ECE1	chr1:21256138-21256688	894
ECE1	chr1:21279332-21289181	261
RAP1GAP	chr1:21649796-21651392	48
RAP1GAP	chr1:21598449-21599494	2064
RAP1GAP	chr1:21598095-21598400	2250
RAP1GAP	chr1:21606197-21607540	1449
USP48	chr1:21704387-21705727	2403
USP48	chr1:21756963-21757663	261
USP48	chr1:21729832-21736430	1200
USP48	chr1:21756702-21756829	330
E2F2	chr1:23521069-23521837	594
E2F2	chr1:23521071-23521839	594
GALE	chr1:23798225-23798615	318
GALE	chr1:23798484-23798615	267
GALE	chr1:23797107-23797695	630
GALE	chr1:23798230-23798311	351
FUCA1	chr1:23865971-23867898	450
FUCA1	chr1:23865625-23867724	393
STPG1	chr1:24382592-24383902	60
STPG1	chr1:24358619-24360324	1032
STPG1	chr1:24392067-24401319	105
STPG1	chr1:24379823-24383867	315
STPG1	chr1:24370480-24373702	594
RSRP1	chr1:25243633-25244454	729
RSRP1	chr1:25243633-25244177	27
RSRP1	chr1:25244498-25245150	681
RSRP1	chr1:25244224-25244454	729
RSRP1	chr1:25244224-25245150	681
RSRP1	chr1:25245301-25245991	768
PAFAH2	chr1:25988327-25989452	306
GPN2	chr1:26886133-26888897	615
GPN2	chr1:26884315-26885973	795
GPATCH3	chr1:26892791-26893351	42
GPATCH3	chr1:26894410-26897090	915
GPATCH3	chr1:26892791-26893298	42
GPATCH3	chr1:26897725-26900122	405
SLC9A1	chr1:27102721-27103223	1653
SLC9A1	chr1:27109777-27113791	924
SLC9A1	chr1:27114446-27153983	396
MAP3K6	chr1:27359559-27359858	2406
WASF2	chr1:27419726-27428761	138
FGR	chr1:27614922-27615434	1059
TAF12	chr1:28622165-28623942	126
SRSF4	chr1:29166866-29168503	261
SRSF4	chr1:29160058-29160375	291
SRSF4	chr1:29160091-29160375	276
SRSF4	chr1:29159486-29159864	312
PUM1	chr1:30966278-30967099	1938
PUM1	chr1:30941272-30941922	2466
PUM1	chr1:31028864-31059299	285
PUM1	chr1:30941272-30941626	2505
PUM1	chr1:31055380-31059204	141
PUM1	chr1:30966197-30967099	1944
PUM1	chr1:30967310-30968297	1701
PUM1	chr1:30953818-30964674	2397
PUM1	chr1:31059577-31065616	273
SNRNP40	chr1:31260121-31260955	1074
FABP3	chr1:31367494-31369070	294
PEF1	chr1:31635522-31644190	36
PEF1	chr1:31630750-31632495	630
PEF1	chr1:31635522-31644262	36
PEF1	chr1:31635522-31644123	36
PEF1	chr1:31633314-31634834	333
PEF1	chr1:31635522-31644380	36
COL16A1	chr1:31668855-31669811	3207
COL16A1	chr1:31668855-31670556	3207
COL16A1	chr1:31655502-31656098	4176
COL16A1	chr1:31689085-31689461	1644
COL16A1	chr1:31689085-31689332	1644
COL16A1	chr1:31665234-31665504	3813
COL16A1	chr1:31685133-31685639	2064
ADGRB2	chr1:31756815-31763884	909
TMEM234	chr1:32221197-32221797	333
TMEM234	chr1:32222013-32222307	105
TMEM234	chr1:32217577-32221131	291
BSDC1	chr1:32383906-32386779	222
BSDC1	chr1:32383939-32386779	195
BSDC1	chr1:32369338-32376262	1269
ZBTB8OS	chr1:32627544-32633951	126
ZBTB8OS	chr1:32634110-32634768	231
ZBTB8OS	chr1:32634072-32650433	168
ZBTB8OS	chr1:32634110-32650402	105
YARS1	chr1:32791254-32797592	741
TRIM62	chr1:33159973-33165471	510
PHC2	chr1:33332404-33333844	249
ZMYM6	chr1:35010597-35010951	1251
SFPQ	chr1:35178036-35187001	6
KIAA0319L	chr1:35443335-35444161	2664
KIAA0319L	chr1:35476595-35478966	6
KIAA0319L	chr1:35453689-35454237	1830
KIAA0319L	chr1:35450509-35451524	2100
KIAA0319L	chr1:35442772-35442906	2832
KIAA0319L	chr1:35441322-35442246	2931
KIAA0319L	chr1:35435597-35441047	3078
KIAA0319L	chr1:35464928-35466608	6
KIAA0319L	chr1:35460433-35462621	1350
CLSPN	chr1:35737421-35737698	3693
CLSPN	chr1:35720980-35736247	3969
CLSPN	chr1:35720980-35736485	3969
CLSPN	chr1:35737417-35737992	3747
OSCP1	chr1:36422970-36423363	654
OSCP1	chr1:36431860-36432422	450
MRPS15	chr1:36463850-36464219	195
MEAF6	chr1:37495918-37496547	567
GNL2	chr1:37582936-37583694	705
C1orf109	chr1:37683476-37686273	483
C1orf109	chr1:37686452-37689491	279
C1orf109	chr1:37686452-37689658	342
MTF1	chr1:37840158-37857576	87
MTF1	chr1:37818098-37822121	1788
INPP5B	chr1:37889724-37890616	633
INPP5B	chr1:37878492-37880085	1611
INPP5B	chr1:37889720-37891358	741
INPP5B	chr1:37885825-37886573	1164
INPP5B	chr1:37865923-37866459	2646
INPP5B	chr1:37889668-37891358	858
INPP5B	chr1:37891454-37931909	546
RRAGC	chr1:38855907-38856705	552
MYCBP	chr1:38867610-38872573	270
ENSG00000274944	chr1:38867610-38873059	87
NT5C1A	chr1:39666236-39671887	318
BMP8B	chr1:39774425-39774849	594
BMP8B	chr1:39765008-39774308	837
TRIT1	chr1:39857417-39876062	63
TRIT1	chr1:39865667-39883318	69
TRIT1	chr1:39852951-39853970	462
TRIT1	chr1:39848097-39850123	705
TRIT1	chr1:39850261-39853970	69
TRIT1	chr1:39876132-39883318	69
TRIT1	chr1:39847747-39847986	819
TRIT1	chr1:39857417-39864710	63
PPT1	chr1:40089582-40091329	447
PPT1	chr1:40092500-40097115	141
PPT1	chr1:40092507-40097111	168
PPT1	chr1:40092507-40096809	132
PPT1	chr1:40074183-40075130	87
COL9A2	chr1:40314387-40315238	162
COL9A2	chr1:40306401-40307446	1203
COL9A2	chr1:40315664-40316651	270
SCMH1	chr1:41028745-41033983	1836
SCMH1	chr1:41117010-41142874	639
SCMH1	chr1:41034102-41037362	1680
SCMH1	chr1:41113553-41116922	528
SCMH1	chr1:41037541-41046418	1461
SCMH1	chr1:41034119-41037362	1728
SCMH1	chr1:41037541-41045713	1515
EDN2	chr1:41482588-41483750	225
EDN2	chr1:41479502-41480701	447
EDN2	chr1:41484112-41484538	120
EDN2	chr1:41483078-41484047	312
FOXJ3	chr1:42278784-42311050	81
P3H1	chr1:42750336-42751641	1752
P3H1	chr1:42759393-42762323	621
P3H1	chr1:42756455-42757783	1092
P3H1	chr1:42756452-42757783	1089
P3H1	chr1:42757945-42758852	1032
P3H1	chr1:42757857-42758852	1014
P3H1	chr1:42751834-42752274	186
P3H1	chr1:42747408-42747723	1980
P3H1	chr1:42751740-42752274	186
P3H1	chr1:42747540-42747723	1926
P3H1	chr1:42748315-42750186	1743
SLC2A1	chr1:42929780-42930626	162
ELOVL1	chr1:43365097-43365186	309
ELOVL1	chr1:43364460-43364619	600
ELOVL1	chr1:43364460-43364615	435
HYI	chr1:43451311-43451428	744
SLC6A9	chr1:44001051-44001164	1356
SLC6A9	chr1:44002646-44002902	714
SLC6A9	chr1:44010882-44016394	111
TMEM53	chr1:44660295-44673767	72
BEST4	chr1:44784985-44785163	924
PTCH2	chr1:44828362-44828506	1677
HECTD3	chr1:45010706-45010863	579
CCDC163	chr1:45495545-45496556	357
CCDC163	chr1:45496623-45497304	294
CCDC163	chr1:45497383-45498443	456
CCDC17	chr1:45623117-45623557	228
CCDC17	chr1:45621484-45621558	1188
CCDC17	chr1:45620433-45620528	1791
IPP	chr1:45714354-45716895	1398
PIK3R3	chr1:46066964-46077515	336
P3R3URF-PIK3R3	chr1:46066964-46077515	474
POMGNT1	chr1:46190517-46190745	1584
POMGNT1	chr1:46188980-46189180	2031
POMGNT1	chr1:46193442-46193564	1047
POMGNT1	chr1:46190517-46192098	1560
POMGNT1	chr1:46193639-46193777	954
POMGNT1	chr1:46197080-46197702	144
POMGNT1	chr1:46193616-46193855	990
POMGNT1	chr1:46190621-46190720	1686
MKNK1	chr1:46565136-46568238	528
MKNK1	chr1:46561673-46562649	849
MKNK1	chr1:46565136-46568317	528
MKNK1	chr1:46580627-46582814	228
ATPAF1	chr1:46663923-46665256	144
EFCAB14	chr1:46685144-46686784	1176
EFCAB14	chr1:46708051-46716291	348
STIL	chr1:47281701-47282345	18
STIL	chr1:47281209-47281616	1287
STIL	chr1:47299968-47301561	471
BEND5	chr1:48759366-48761337	381
FAF1	chr1:50857997-50959672	129
TTC39A	chr1:51321825-51330039	45
EPS15	chr1:51472948-51474404	24
EPS15	chr1:51507657-51519199	24
NRDC	chr1:51834057-51836131	921
NRDC	chr1:51836438-51837456	780
NRDC	chr1:51840514-51877983	345
CC2D1B	chr1:52356442-52356755	2022
CC2D1B	chr1:52356442-52356761	2022
CC2D1B	chr1:52354454-52354608	2520
CC2D1B	chr1:52353223-52353342	42
CC2D1B	chr1:52361132-52361478	375
CC2D1B	chr1:52353223-52353518	42
ORC1	chr1:52389321-52393013	1086
ORC1	chr1:52385949-52387947	1398
ORC1	chr1:52389321-52393386	1086
ORC1	chr1:52385949-52388236	1398
ORC1	chr1:52389321-52393390	1086
ORC1	chr1:52401487-52402129	165
TUT4	chr1:52408460-52409486	87
TUT4	chr1:52445572-52445787	21
TUT4	chr1:52439560-52445787	21
COA7	chr1:52692867-52698166	210
COA7	chr1:52692867-52697909	330
ECHDC2	chr1:52914095-52921483	198
ECHDC2	chr1:52905436-52906519	552
ECHDC2	chr1:52911790-52921483	201
ECHDC2	chr1:52897484-52898580	789
ECHDC2	chr1:52914095-52921398	273
ECHDC2	chr1:52906611-52907014	417
LRP8	chr1:53292292-53326873	75
LRP8	chr1:53248591-53249380	81
LRP8	chr1:53289689-53312969	75
LRP8	chr1:53249860-53250690	81
LRP8	chr1:53257464-53258009	2676
LRP8	chr1:53289689-53313573	75
LRP8	chr1:53247056-53248463	129
LRP8	chr1:53262207-53264169	93
LRP8	chr1:53254957-53255117	81
LRP8	chr1:53250862-53254911	2649
LRP8	chr1:53258074-53258319	2250
LRP8	chr1:53249573-53250690	81
LRP8	chr1:53313743-53326873	75
LRP8	chr1:53326992-53327258	414
LRP8	chr1:53248591-53250690	129
LRP8	chr1:53266699-53271028	1455
YIPF1	chr1:53878722-53882943	201
HSPB11	chr1:53928435-53930039	219
CYB5RL	chr1:54187882-54190748	366
CYB5RL	chr1:54187739-54190738	372
CYB5RL	chr1:54187882-54190738	450
USP24	chr1:55073460-55073828	7557
USP24	chr1:55104020-55106115	4917
USP24	chr1:55095424-55096498	6087
USP24	chr1:55137704-55137806	3057
USP24	chr1:55178132-55214606	516
USP24	chr1:55084421-55085942	6798
USP24	chr1:55141727-55142742	2664
USP24	chr1:55095335-55096498	6300
USP24	chr1:55159034-55159611	1077
USP24	chr1:55104020-55105400	4929
USP24	chr1:55147796-55148463	1998
USP24	chr1:55069107-55071806	7806
USP24	chr1:55148570-55153839	1905
USP24	chr1:55072861-55073354	7530
USP24	chr1:55124804-55125320	3978
USP24	chr1:55144142-55145998	2385
USP24	chr1:55073436-55073828	7533
OMA1	chr1:58536741-58539036	267
OMA1	chr1:58527335-58530130	60
OMA1	chr1:58506209-58519505	60
OMA1	chr1:58530320-58530601	60
OMA1	chr1:58522912-58527261	60
OMA1	chr1:58506209-58522827	60
OMA1	chr1:58519570-58527261	60
MYSM1	chr1:58689116-58689276	366
MYSM1	chr1:58695207-58699623	72
MYSM1	chr1:58689116-58689294	366
MYSM1	chr1:58689367-58690226	375
MYSM1	chr1:58667921-58668430	1968
MYSM1	chr1:58685251-58690226	300
MYSM1	chr1:58675575-58676926	1401
CYP2J2	chr1:59916100-59926521	255
CYP2J2	chr1:59901103-59904366	1224
TM2D1	chr1:61724425-61724902	39
TM2D1	chr1:61723772-61724288	87
TM2D1	chr1:61724425-61724920	39
TM2D1	chr1:61723772-61724920	87
TM2D1	chr1:61723772-61724902	87
DOCK7	chr1:62644114-62647691	21
DOCK7	chr1:62648185-62648415	525
DOCK7	chr1:62487452-62488934	5583
DOCK7	chr1:62619989-62625259	1437
DOCK7	chr1:62638379-62647691	21
DOCK7	chr1:62578966-62586507	45
DOCK7	chr1:62542703-62543597	2976
DOCK7	chr1:62633935-62634773	1068
DOCK7	chr1:62489065-62492781	5271
DOCK7	chr1:62633578-62633900	21
DOCK7	chr1:62636603-62638243	21
DOCK7	chr1:62620307-62625259	1497
DOCK7	chr1:62495904-62496339	4914
DOCK7	chr1:62631418-62633498	1134
DOCK7	chr1:62476156-62477007	5667
ITGB3BP	chr1:63447614-63453918	513
JAK1	chr1:64879148-64882892	375
JAK1	chr1:64857774-64860105	1335
SLC35D1	chr1:67050504-67051989	402
SLC35D1	chr1:67050504-67051984	402
SLC35D1	chr1:67052882-67052956	240
SERBP1	chr1:67426285-67429436	552
DEPDC1	chr1:68481612-68482641	1188
DEPDC1	chr1:68482930-68483950	921
DEPDC1	chr1:68486415-68486937	30
DEPDC1	chr1:68481530-68482046	1779
DEPDC1	chr1:68479320-68481047	1944
ANKRD13C	chr1:70276844-70291682	1221
ZRANB2	chr1:71065748-71066776	933
ZRANB2	chr1:71066934-71069267	774
ERICH3	chr1:74636434-74641331	522
SLC44A5	chr1:75218595-75219257	1314
PIGK	chr1:77169372-77206640	243
ZZZ3	chr1:77576755-77578774	783
ZZZ3	chr1:77584655-77633115	309
USP33	chr1:77718641-77720279	1788
USP33	chr1:77740934-77741376	252
USP33	chr1:77713281-77715742	39
USP33	chr1:77718641-77720262	1788
USP33	chr1:77701643-77711747	2607
USP33	chr1:77720586-77721172	285
FUBP1	chr1:77947547-77949155	1929
FUBP1	chr1:77960495-77962772	1467
TTLL7	chr1:83870082-83882669	2571
TTLL7	chr1:83917704-83919699	1512
TTLL7	chr1:83917686-83919699	1551
TTLL7	chr1:83919834-83920523	1368
TTLL7	chr1:83906523-83907456	2010
TTLL7	chr1:83920615-83921087	1407
GNG5	chr1:84501970-84505306	273
CTBS	chr1:84563914-84565841	741
CTBS	chr1:84570720-84573916	234
SSX2IP	chr1:84656476-84658318	1098
SSX2IP	chr1:84651997-84655465	1398
SSX2IP	chr1:84669941-84670646	240
SSX2IP	chr1:84669856-84670646	246
SSX2IP	chr1:84647607-84649671	1626
MCOLN2	chr1:84938082-84939626	1038
MCOLN2	chr1:84929679-84930626	1692
MCOLN2	chr1:84947132-84952278	723
MCOLN2	chr1:84952304-84952446	657
MCOLN2	chr1:84947079-84952243	750
MCOLN2	chr1:84965708-84996818	87
MCOLN2	chr1:84938082-84939187	1203
MCOLN2	chr1:84939700-84940879	1005
MCOLN3	chr1:85032817-85032872	660
MCOLN3	chr1:85022400-85025612	1143
MCOLN3	chr1:85026279-85029106	861
C1orf52	chr1:85259061-85259358	303
C1orf52	chr1:85258722-85258935	540
BCL10	chr1:85270906-85275800	243
ZNHIT6	chr1:85679448-85680836	1179
ODF2L	chr1:86356007-86356444	9
ODF2L	chr1:86371130-86372431	960
ODF2L	chr1:86355388-86356444	1443
ODF2L	chr1:86355388-86355994	9
ODF2L	chr1:86385590-86386919	114
ODF2L	chr1:86385590-86386346	183
ODF2L	chr1:86354859-86355647	1548
ODF2L	chr1:86385590-86386619	183
SELENOF	chr1:86903448-86913806	141
SELENOF	chr1:86880725-86903281	288
KYAT3	chr1:88949277-88952306	897
KYAT3	chr1:88955225-88961213	672
KYAT3	chr1:88943423-88949173	978
KYAT3	chr1:88962145-88964556	477
GBP3	chr1:89015414-89020130	291
GBP3	chr1:89014279-89014405	429
GBP3	chr1:89015414-89020126	291
GBP3	chr1:89013324-89014083	690
GBP3	chr1:89009494-89013185	120
GBP3	chr1:89015414-89020353	291
GBP1	chr1:89059043-89059175	429
GBP1	chr1:89059032-89059317	429
GBP1	chr1:89059426-89060171	393
GBP1	chr1:89053468-89054584	1755
GBP2	chr1:89114296-89116661	978
GBP5	chr1:89262420-89262683	1509
GBP5	chr1:89263244-89263736	1536
GBP5	chr1:89260817-89262072	1776
GBP5	chr1:89266705-89266957	645
HFM1	chr1:91378480-91379059	1176
GLMN	chr1:92290330-92291418	297
GLMN	chr1:92268130-92269723	1020
GLMN	chr1:92263732-92266419	48
GLMN	chr1:92264638-92266540	48
GFI1	chr1:92478753-92480077	1155
GFI1	chr1:92476720-92478588	1152
GFI1	chr1:92481409-92482864	405
EVI5	chr1:92703619-92703737	429
DNTTIP2	chr1:93877862-93878548	294
GCLM	chr1:93889159-93893889	729
GCLM	chr1:93904588-93908665	327
ALG14	chr1:95065017-95072256	345
ALG14	chr1:94983633-95027129	465
DPYD	chr1:97700302-97721510	582
DPYD	chr1:97699547-97720825	504
DPYD	chr1:97721580-97740392	408
FRRS1	chr1:99710949-99711942	1494
FRRS1	chr1:99712508-99715586	1350
FRRS1	chr1:99709259-99710444	1710
FRRS1	chr1:99711532-99712105	1530
FRRS1	chr1:99710949-99711355	1494
SASS6	chr1:100126764-100132750	264
SASS6	chr1:100123977-100125882	249
EXTL2	chr1:100874430-100876033	528
EXTL2	chr1:100877903-100878351	33
EXTL2	chr1:100877903-100878394	33
DPH5	chr1:101001544-101013710	405
SLC25A24	chr1:108155135-108156701	705
AKNAD1	chr1:108816302-108816874	2391
AKNAD1	chr1:108843284-108848752	1248
CLCC1	chr1:108941494-108943475	747
CLCC1	chr1:108940142-108943475	3
CLCC1	chr1:108930204-108934625	3
WDR47	chr1:109004718-109011643	618
SORT1	chr1:109325089-109327000	1317
SORT1	chr1:109397340-109397587	138
SORT1	chr1:109369589-109397207	591
DRAM2	chr1:111118897-111119615	621
DRAM2	chr1:111119959-111120532	507
DRAM2	chr1:111119681-111119877	648
DRAM2	chr1:111125650-111126227	210
DENND2D	chr1:111199798-111199915	192
DENND2D	chr1:111197253-111197706	573
DENND2D	chr1:111194726-111195668	654
DENND2D	chr1:111199798-111204146	63
WDR77	chr1:111443725-111443867	633
WDR77	chr1:111441604-111442025	909
WDR77	chr1:111443394-111443667	708
WDR77	chr1:111441389-111441499	873
PHTF1	chr1:113698387-113698992	2160
PHTF1	chr1:113699799-113700193	2076
PHTF1	chr1:113757755-113757992	174
PHTF1	chr1:113700243-113700794	2085
PHTF1	chr1:113726458-113738110	399
RSBN1	chr1:113767207-113767955	1830
PTPN22	chr1:113856826-113857738	504
AP4B1	chr1:113902734-113904605	204
AP4B1	chr1:113901383-113901759	480
AP4B1	chr1:113896465-113897812	1383
AP4B1	chr1:113899352-113899904	1158
TRIM33	chr1:114402883-114405457	2748
TRIM33	chr1:114421636-114424571	1917
TRIM33	chr1:114444186-114463104	63
TRIM33	chr1:114405704-114406941	2460
TRIM33	chr1:114405580-114406941	2463
BCAS2	chr1:114581391-114581528	111
DENND2C	chr1:114594578-114595355	2382
DENND2C	chr1:114623099-114623560	915
CSDE1	chr1:114732868-114733732	750
CSDE1	chr1:114720737-114723883	1809
CSDE1	chr1:114720566-114723883	1800
CSDE1	chr1:114730568-114732604	960
CSDE1	chr1:114730402-114730508	1113
SIKE1	chr1:114780215-114780387	246
CD58	chr1:116519302-116521906	714
IGSF3	chr1:116616457-116666105	78
GDAP2	chr1:117878115-117881823	1308
GDAP2	chr1:117899178-117906506	717
GDAP2	chr1:117899239-117906506	654
GDAP2	chr1:117913499-117918597	483
WARS2	chr1:119076603-119140555	177
WARS2	chr1:119076607-119140268	186
FAM72B	chr1:121177332-121180600	234
FAM72C	chr1:143964913-143968924	231
FAM72C	chr1:143968996-143970990	198
FAM72C	chr1:143964979-143968250	234
NBPF15	chr1:144427910-144428606	1050
SRGAP2B	chr1:144906039-144914692	546
PDZK1	chr1:145671639-145672730	1539
PDZK1	chr1:145678645-145680383	825
RNF115	chr1:145784596-145788612	180
PIAS3	chr1:145854127-145854458	816
PIAS3	chr1:145850939-145851051	1215
PIAS3	chr1:145856431-145856773	393
ITGA10	chr1:145901235-145901516	1539
ITGA10	chr1:145897919-145898110	2394
ITGA10	chr1:145902956-145904052	759
PEX11B	chr1:145917806-145918633	147
PEX11B	chr1:145917816-145918637	153
PEX11B	chr1:145912566-145916596	429
PEX11B	chr1:145917816-145917955	135
NBPF10	chr1:146126328-146127028	1863
NOTCH2NLA	chr1:146147747-146156139	822
PRKAB2	chr1:147159642-147160797	783
FMO5	chr1:147201343-147208852	837
ACP6	chr1:147656672-147658960	18
