Gene_name	Intron_coord	PTC_position	Exon_length
SRSF4	chr1:29160058-29160375	642	684
SRSF4	chr1:29160091-29160375	690	717
SRSF4	chr1:29159486-29159864	447	654
PUM1	chr1:30966278-30967099	216	297
PUM1	chr1:30941272-30941922	120	123
PUM1	chr1:31028864-31059299	51	69
PUM1	chr1:30941272-30941626	255	498
PUM1	chr1:31055380-31059204	270	375
PUM1	chr1:30966197-30967099	132	216
PUM1	chr1:30967310-30968297	0	195
PUM1	chr1:30953818-30964674	30	105
PUM1	chr1:30941667-30941998	510	516
SNRNP40	chr1:31260121-31260955	522	678
FABP3	chr1:31367494-31369070	267	489
PEF1	chr1:31635522-31644190	639	675
PEF1	chr1:31635522-31644262	567	603
PEF1	chr1:31635522-31644123	705	741
PEF1	chr1:31633314-31634834	378	687
PEF1	chr1:31635522-31644380	447	483
COL16A1	chr1:31668855-31669811	777	834
COL16A1	chr1:31668855-31670556	33	90
COL16A1	chr1:31655502-31656098	225	345
COL16A1	chr1:31689085-31689461	255	390
COL16A1	chr1:31689085-31689332	384	519
COL16A1	chr1:31665234-31665504	36	45
COL16A1	chr1:31685133-31685639	264	312
ADGRB2	chr1:31743002-31743459	477	900
TMEM234	chr1:32221197-32221797	63	93
TMEM234	chr1:32222013-32222307	57	147
TMEM234	chr1:32217577-32221131	261	318
BSDC1	chr1:32383906-32386779	42	75
BSDC1	chr1:32383939-32386779	102	108
BSDC1	chr1:32369338-32376262	777	891
ZBTB8OS	chr1:32627544-32633951	813	843
ZBTB8OS	chr1:32634110-32634768	51	162
ZBTB8OS	chr1:32634072-32650433	51	123
ZBTB8OS	chr1:32627544-32633262	306	465
ZBTB8OS	chr1:32633354-32633645	51	111
ZBTB8OS	chr1:32627865-32631827	354	360
ZBTB8OS	chr1:32634110-32634702	51	162
ZBTB8OS	chr1:32632345-32633645	495	519
ZBTB8OS	chr1:32634792-32650402	21	126
YARS1	chr1:32791254-32797592	21	252
TRIM62	chr1:33159973-33165471	279	285
PHC2	chr1:33332404-33334185	63	129
PHC2	chr1:33331699-33332275	288	351
PHC2	chr1:33331462-33331625	630	780
ZMYM6	chr1:35010597-35010951	48	153
SFPQ	chr1:35178036-35187001	63	69
KIAA0319L	chr1:35443335-35444161	420	429
KIAA0319L	chr1:35476595-35478966	249	255
KIAA0319L	chr1:35453689-35454237	75	249
KIAA0319L	chr1:35450509-35451524	66	255
KIAA0319L	chr1:35442772-35442906	474	528
KIAA0319L	chr1:35441322-35442246	213	276
KIAA0319L	chr1:35464928-35466608	249	255
KIAA0319L	chr1:35460433-35462621	72	129
CLSPN	chr1:35737421-35737698	264	399
CLSPN	chr1:35720980-35736247	606	828
CLSPN	chr1:35720980-35736485	369	591
CLSPN	chr1:35737417-35737992	156	162
OSCP1	chr1:36422970-36423363	168	204
OSCP1	chr1:36431860-36432422	42	57
MRPS15	chr1:36463850-36464219	30	48
MEAF6	chr1:37513538-37514517	126	228
GNL2	chr1:37582936-37583694	102	240
C1orf109	chr1:37683476-37686273	129	159
C1orf109	chr1:37686452-37689491	111	390
C1orf109	chr1:37686452-37689658	60	180
MTF1	chr1:37840158-37857576	234	240
MTF1	chr1:37818098-37822121	657	678
INPP5B	chr1:37889724-37890616	738	840
INPP5B	chr1:37878492-37880085	234	306
INPP5B	chr1:37889720-37891358	51	165
INPP5B	chr1:37885825-37886573	282	432
INPP5B	chr1:37865923-37866459	141	162
INPP5B	chr1:37889668-37891358	99	114
INPP5B	chr1:37891454-37931909	87	99
RRAGC	chr1:38855907-38856705	63	378
MYCBP	chr1:38867610-38872573	261	516
ENSG00000274944	chr1:38867610-38873059	30	51
PABPC4	chr1:39562416-39563527	60	216
PABPC4	chr1:39570002-39571097	132	252
NT5C1A	chr1:39666236-39671887	0	168
BMP8B	chr1:39774425-39774849	48	120
BMP8B	chr1:39765008-39774308	222	387
TRIT1	chr1:39857417-39876062	93	156
TRIT1	chr1:39865667-39883318	93	162
TRIT1	chr1:39852951-39853970	171	219
TRIT1	chr1:39848097-39850123	105	111
TRIT1	chr1:39850261-39853970	93	162
TRIT1	chr1:39876132-39883318	93	162
TRIT1	chr1:39847747-39847986	195	201
TRIT1	chr1:39857417-39864710	93	156
PPT1	chr1:40089582-40091329	159	174
PPT1	chr1:40092500-40097115	84	102
PPT1	chr1:40092507-40097111	69	111
PPT1	chr1:40092507-40096809	297	429
PPT1	chr1:40091399-40091914	87	258
COL9A2	chr1:40314387-40315238	339	426
COL9A2	chr1:40306401-40307446	63	258
COL9A2	chr1:40304847-40304926	744	843
COL9A2	chr1:40310317-40310507	123	261
COL9A2	chr1:40314387-40315127	450	537
SCMH1	chr1:41117010-41142874	108	243
SCMH1	chr1:41034102-41037362	87	120
SCMH1	chr1:41113553-41116922	243	270
SCMH1	chr1:41037541-41046418	174	180
SCMH1	chr1:41034119-41037362	57	138
SCMH1	chr1:41037541-41045713	645	885
EDN2	chr1:41482588-41483750	291	453
EDN2	chr1:41479502-41480701	390	495
EDN2	chr1:41484112-41484538	9	66
EDN2	chr1:41483078-41484047	522	615
FOXJ3	chr1:42278784-42311050	399	438
P3H1	chr1:42750336-42751641	450	729
P3H1	chr1:42759393-42762323	189	192
P3H1	chr1:42756455-42757783	894	906
P3H1	chr1:42756452-42757783	894	903
P3H1	chr1:42757945-42758852	69	162
P3H1	chr1:42757857-42758852	0	75
P3H1	chr1:42751834-42752274	108	129
P3H1	chr1:42747408-42747723	90	156
P3H1	chr1:42751740-42752274	108	129
P3H1	chr1:42747540-42747723	276	288
P3H1	chr1:42748315-42750186	93	117
SLC2A1	chr1:42929780-42930626	12	162
ELOVL1	chr1:43365097-43365186	96	168
ELOVL1	chr1:43364460-43364615	108	135
MED8	chr1:43387607-43388310	99	105
MED8	chr1:43386966-43387503	102	108
HYI	chr1:43452031-43452205	78	96
HYI	chr1:43452046-43452205	78	111
SLC6A9	chr1:44001051-44001164	75	96
SLC6A9	chr1:44002646-44002902	93	135
SLC6A9	chr1:43998225-44000767	267	369
TMEM53	chr1:44660295-44673767	552	624
BEST4	chr1:44784985-44785163	12	81
PTCH2	chr1:44828362-44828506	327	348
HECTD3	chr1:45010706-45010863	69	93
MUTYH	chr1:45334511-45340223	111	123
MUTYH	chr1:45334511-45340203	33	120
MUTYH	chr1:45330068-45330516	75	111
MUTYH	chr1:45333617-45334391	174	204
MUTYH	chr1:45331872-45332023	99	135
MUTYH	chr1:45333497-45334391	75	84
MUTYH	chr1:45333324-45334391	549	561
MUTYH	chr1:45334511-45339662	411	591
MUTYH	chr1:45329437-45329889	567	669
CCDC163	chr1:45497383-45498443	621	999
CCDC17	chr1:45623117-45623557	123	351
CCDC17	chr1:45621484-45621558	75	177
CCDC17	chr1:45620433-45620528	114	306
IPP	chr1:45714354-45716895	18	108
PIK3R3	chr1:46066964-46077515	30	54
P3R3URF-PIK3R3	chr1:46066964-46077515	30	54
POMGNT1	chr1:46190517-46190745	39	45
POMGNT1	chr1:46188980-46189180	273	387
POMGNT1	chr1:46193442-46193564	117	138
POMGNT1	chr1:46190517-46192098	24	45
POMGNT1	chr1:46193639-46193777	72	147
POMGNT1	chr1:46197080-46197702	87	111
POMGNT1	chr1:46193616-46193855	12	54
POMGNT1	chr1:46190621-46190720	66	150
MKNK1	chr1:46565136-46568238	189	261
MKNK1	chr1:46561673-46562649	150	195
MKNK1	chr1:46565136-46568317	111	183
MKNK1	chr1:46580627-46582814	285	513
ATPAF1	chr1:46663923-46665256	87	108
EFCAB14	chr1:46685144-46686784	552	654
EFCAB14	chr1:46708051-46716291	135	147
STIL	chr1:47281701-47282345	66	84
STIL	chr1:47281209-47281616	690	846
STIL	chr1:47299968-47301561	45	63
BEND5	chr1:48759366-48761337	444	465
FAF1	chr1:50857997-50959672	9	138
TTC39A	chr1:51305146-51305527	411	552
TTC39A	chr1:51305146-51305241	696	837
EPS15	chr1:51472948-51474404	3	27
EPS15	chr1:51474525-51481273	3	27
NRDC	chr1:51834057-51836131	36	42
NRDC	chr1:51836438-51837456	15	165
NRDC	chr1:51836438-51840226	252	306
CC2D1B	chr1:52356442-52356755	120	372
CC2D1B	chr1:52356442-52356761	114	366
CC2D1B	chr1:52354454-52354608	81	123
CC2D1B	chr1:52353223-52353342	81	123
CC2D1B	chr1:52361132-52361478	135	159
CC2D1B	chr1:52357174-52357526	135	174
CC2D1B	chr1:52353647-52354633	81	123
CC2D1B	chr1:52353647-52354321	60	378
CC2D1B	chr1:52359836-52360074	0	75
CC2D1B	chr1:52357146-52357526	108	144
CC2D1B	chr1:52353647-52354365	81	123
ORC1	chr1:52389321-52393013	426	792
ORC1	chr1:52385949-52387947	480	693
ORC1	chr1:52389321-52393386	51	417
ORC1	chr1:52385949-52388236	189	402
ORC1	chr1:52389321-52393390	48	414
ORC1	chr1:52401487-52402129	54	126
TUT4	chr1:52408460-52409486	126	213
TUT4	chr1:52445572-52445787	39	60
TUT4	chr1:52439560-52445787	39	60
COA7	chr1:52692867-52698166	90	141
COA7	chr1:52692867-52697909	87	417
ECHDC2	chr1:52905436-52906519	306	402
ECHDC2	chr1:52911790-52921483	57	69
ECHDC2	chr1:52897484-52898580	558	645
ECHDC2	chr1:52906611-52907014	801	942
LRP8	chr1:53292292-53326873	18	93
LRP8	chr1:53248591-53249380	66	147
LRP8	chr1:53289689-53312969	18	93
LRP8	chr1:53249860-53250690	447	480
LRP8	chr1:53257464-53258009	66	225
LRP8	chr1:53289689-53313573	18	93
LRP8	chr1:53247056-53248463	21	126
LRP8	chr1:53262207-53264169	24	117
LRP8	chr1:53254957-53255117	66	147
LRP8	chr1:53250862-53254911	60	276
LRP8	chr1:53258074-53258319	792	834
LRP8	chr1:53249573-53250690	66	147
LRP8	chr1:53313743-53326873	18	93
LRP8	chr1:53326992-53327258	240	654
LRP8	chr1:53248591-53250690	21	126
LRP8	chr1:53266699-53271028	24	228
YIPF1	chr1:53878722-53882943	162	333
HSPB11	chr1:53928435-53930039	48	63
CYB5RL	chr1:54187882-54190748	210	231
CYB5RL	chr1:54187739-54190738	72	87
SSBP3	chr1:54404930-54405130	819	879
USP24	chr1:55073460-55073828	642	675
USP24	chr1:55104020-55106115	138	144
USP24	chr1:55095424-55096498	144	171
USP24	chr1:55137704-55137806	159	189
USP24	chr1:55178132-55214606	156	165
USP24	chr1:55084421-55085942	615	648
USP24	chr1:55141727-55142742	81	111
USP24	chr1:55095335-55096498	87	96
USP24	chr1:55159034-55159611	147	156
USP24	chr1:55104020-55105400	696	864
USP24	chr1:55147796-55148463	117	147
USP24	chr1:55148570-55153839	93	108
USP24	chr1:55072861-55073354	468	552
USP24	chr1:55124804-55125320	318	336
USP24	chr1:55144142-55145998	132	141
USP24	chr1:55073436-55073828	642	651
OMA1	chr1:58536741-58539036	219	228
OMA1	chr1:58527335-58530130	192	228
OMA1	chr1:58506209-58519505	192	228
OMA1	chr1:58530320-58530601	192	228
OMA1	chr1:58522912-58527261	192	228
OMA1	chr1:58506209-58522827	192	228
OMA1	chr1:58519570-58527261	192	228
MYSM1	chr1:58689116-58689276	903	975
MYSM1	chr1:58695207-58699623	357	429
MYSM1	chr1:58689116-58689294	885	957
MYSM1	chr1:58689367-58690226	273	330
MYSM1	chr1:58667921-58668430	0	252
MYSM1	chr1:58685251-58690226	108	192
MYSM1	chr1:58675575-58676926	87	99
CYP2J2	chr1:59916100-59926521	132	162
CYP2J2	chr1:59901103-59904366	471	693
TM2D1	chr1:61724425-61724902	171	210
TM2D1	chr1:61723772-61724288	693	780
TM2D1	chr1:61724425-61724920	153	192
TM2D1	chr1:61723772-61724920	60	147
TM2D1	chr1:61723772-61724902	78	165
DOCK7	chr1:62644114-62647691	60	81
DOCK7	chr1:62648185-62648415	72	78
DOCK7	chr1:62487452-62488934	63	126
DOCK7	chr1:62619989-62625259	78	90
DOCK7	chr1:62638379-62647691	60	81
DOCK7	chr1:62578966-62586507	84	117
DOCK7	chr1:62542703-62543597	30	147
DOCK7	chr1:62633935-62634773	405	438
DOCK7	chr1:62489065-62492781	117	132
DOCK7	chr1:62633578-62633900	60	81
DOCK7	chr1:62636603-62638243	60	81
DOCK7	chr1:62620307-62625259	336	408
DOCK7	chr1:62495904-62496339	306	324
DOCK7	chr1:62631418-62633498	159	177
DOCK7	chr1:62476156-62477007	633	819
JAK1	chr1:64879148-64882892	213	582
JAK1	chr1:64857774-64860105	117	120
SLC35D1	chr1:67050504-67051989	12	90
SLC35D1	chr1:67050504-67051984	18	96
SLC35D1	chr1:67052882-67052956	108	111
SERBP1	chr1:67426285-67429436	312	864
WLS	chr1:68228255-68232194	78	87
WLS	chr1:68194227-68231703	306	597
DEPDC1	chr1:68481612-68482641	150	171
DEPDC1	chr1:68482930-68483950	873	885
DEPDC1	chr1:68486415-68486937	72	102
DEPDC1	chr1:68481530-68482046	72	90
DEPDC1	chr1:68479320-68481047	384	567
ANKRD13C	chr1:70276844-70291682	699	867
ZRANB2	chr1:71066934-71069267	3	96
ERICH3	chr1:74636434-74641331	75	153
SLC44A5	chr1:75218595-75219257	57	105
PIGK	chr1:77169372-77206640	108	114
ZZZ3	chr1:77576755-77578774	600	687
ZZZ3	chr1:77584655-77633115	69	138
USP33	chr1:77718641-77720279	888	927
USP33	chr1:77740934-77741376	33	57
USP33	chr1:77713281-77715742	39	45
USP33	chr1:77718641-77720262	906	945
USP33	chr1:77701643-77711747	165	273
USP33	chr1:77720586-77721172	9	111
FUBP1	chr1:77960495-77962772	27	153
TTLL7	chr1:83870082-83882669	264	468
TTLL7	chr1:83917704-83919699	87	99
TTLL7	chr1:83917686-83919699	30	81
TTLL7	chr1:83919834-83920523	558	636
TTLL7	chr1:83906523-83907456	177	195
TTLL7	chr1:83920615-83921087	873	918
GNG5	chr1:84501970-84505306	513	786
CTBS	chr1:84563914-84565841	135	180
CTBS	chr1:84570720-84573916	264	498
SSX2IP	chr1:84656476-84658318	108	129
SSX2IP	chr1:84651997-84655465	357	540
SSX2IP	chr1:84669941-84670646	234	261
SSX2IP	chr1:84669856-84670646	141	174
SSX2IP	chr1:84647607-84649671	654	858
MCOLN2	chr1:84938082-84939626	99	102
MCOLN2	chr1:84929679-84930626	585	942
MCOLN2	chr1:84947132-84952278	87	99
MCOLN2	chr1:84952304-84952446	54	63
MCOLN2	chr1:84947079-84952243	42	45
MCOLN2	chr1:84965708-84996818	126	159
MCOLN2	chr1:84938082-84939187	273	516
MCOLN2	chr1:84939700-84940879	102	147
MCOLN3	chr1:85032817-85032872	96	123
MCOLN3	chr1:85022400-85025612	279	477
MCOLN3	chr1:85026279-85029106	78	108
C1orf52	chr1:85259061-85259358	510	537
C1orf52	chr1:85258722-85258935	159	699
BCL10	chr1:85270906-85275800	309	552
ZNHIT6	chr1:85679448-85680836	657	750
ODF2L	chr1:86356007-86356444	6	15
ODF2L	chr1:86371130-86372431	72	114
ODF2L	chr1:86355388-86356444	603	615
ODF2L	chr1:86355388-86355994	6	15
ODF2L	chr1:86385590-86386919	126	132
ODF2L	chr1:86385590-86386346	498	681
ODF2L	chr1:86354859-86355647	765	954
ODF2L	chr1:86385590-86386619	225	408
SELENOF	chr1:86903448-86913806	165	306
SELENOF	chr1:86863605-86866072	27	63
SELENOF	chr1:86866169-86868053	27	63
KYAT3	chr1:88949277-88952306	711	846
KYAT3	chr1:88955225-88961213	42	75
KYAT3	chr1:88943423-88949173	51	72
KYAT3	chr1:88962145-88964556	249	423
GBP3	chr1:89015414-89020130	300	591
GBP3	chr1:89014279-89014405	141	252
GBP3	chr1:89015414-89020126	303	594
GBP3	chr1:89013324-89014083	75	141
GBP3	chr1:89009494-89013185	96	102
GBP3	chr1:89015414-89020353	78	369
GBP1	chr1:89059043-89059175	141	252
GBP1	chr1:89059032-89059317	189	192
GBP1	chr1:89059426-89060171	60	111
GBP2	chr1:89114296-89116661	219	573
GBP5	chr1:89262420-89262683	156	201
GBP5	chr1:89263244-89263736	387	561
GBP5	chr1:89266705-89266957	339	360
HFM1	chr1:91378480-91379059	63	78
GLMN	chr1:92290330-92291418	120	132
GLMN	chr1:92268130-92269723	72	90
GLMN	chr1:92263732-92266419	54	102
GLMN	chr1:92264638-92266540	54	102
GFI1	chr1:92478753-92480077	39	408
GFI1	chr1:92481409-92482864	702	810
EVI5	chr1:92703619-92703737	93	183
DNTTIP2	chr1:93877862-93878548	306	600
GCLM	chr1:93889159-93893889	651	840
GCLM	chr1:93904588-93908665	171	498
ALG14	chr1:95065017-95072256	297	642
DPYD	chr1:97700302-97721510	852	951
DPYD	chr1:97699547-97720825	663	846
DPYD	chr1:97721580-97740392	180	198
FRRS1	chr1:99710949-99711942	147	222
FRRS1	chr1:99712508-99715586	63	90
FRRS1	chr1:99709259-99710444	276	507
FRRS1	chr1:99711532-99712105	675	726
FRRS1	chr1:99710949-99711355	735	810
SASS6	chr1:100126764-100132750	684	885
SASS6	chr1:100123977-100125882	645	768
EXTL2	chr1:100874430-100876033	735	831
EXTL2	chr1:100877903-100878351	69	99
DPH5	chr1:101001544-101013710	42	78
SLC25A24	chr1:108155135-108156701	723	918
AKNAD1	chr1:108816302-108816874	162	306
AKNAD1	chr1:108843284-108848752	147	150
CLCC1	chr1:108941494-108943475	45	90
CLCC1	chr1:108940142-108943475	171	174
CLCC1	chr1:108947508-108947611	33	90
